month,rate
2015-02,5.5587
2015-03,5.663
2015-04,5.4185
2015-05,5.4941
2015-06,5.8005
2015-07,5.7186
2015-08,5.7426
2015-09,5.733
2015-10,5.7262
2015-11,5.6733
2015-12,5.5795
2016-01,5.588
2016-02,5.2556
2016-03,5.3101
2016-04,5.3299
2016-05,5.2074
2016-06,5.3697
2016-07,5.3889
2016-08,4.8404
2016-09,4.8669
2016-10,4.7607
2016-11,4.5152
2016-12,4.5542
2017-01,4.5445
2017-02,4.5336
2017-03,4.5737
2017-04,4.5819
2017-05,4.7054
2017-06,4.7562
2017-07,4.6517
2017-08,4.7902
2017-09,4.6997
2017-10,4.9822
2017-11,4.8375
2017-12,4.879
2018-01,4.9239
2018-02,5.2242
2018-03,5.1345
2018-04,5.1662
2018-05,5.2285
2018-06,4.9005
2018-07,4.8396
2018-08,4.7931
2018-09,4.7417
2018-10,4.8313
2018-11,4.7427
2018-12,4.6934
2019-01,4.644
2019-02,4.7978
2019-03,4.7986
2019-04,4.8443
2019-05,4.793
2019-06,4.6498
2019-07,4.6397
2019-08,4.5913
2019-09,4.4557
2019-10,4.5854
2019-11,4.7317
2019-12,4.7428
2020-01,4.8012
2020-02,4.82
2020-03,4.7573
2020-04,4.3209
2020-05,4.5278
2020-06,4.5069
2020-07,4.6061
2020-08,4.6765
2020-09,4.8426
2020-10,4.6881
2020-11,4.8348
2020-12,4.8864
2021-01,4.9576
2021-02,5.0071
2021-03,5.1612
2021-04,5.0399
2021-05,5.1165
2021-06,5.1958
2021-07,5.1310
2021-08,5.0228
2021-09,5.0532
2021-10,5.0122
2021-11,5.0745
2021-12,4.9456
2022-01,4.8542
2022-02,5.0060
2022-03,4.9876
2022-04,4.8528
2022-05,4.7924
2022-06,4.5592
2022-07,4.5212
2022-08,4.4064
2022-09,4.3419
2022-10,4.1621
2022-11,4.1355
2022-12,4.4317
2023-01,4.5569
2023-02,4.5516
2023-03,4.4084
2023-04,4.4918
2023-05,4.5722
2023-06,4.5409
2023-07,4.6766
2023-08,4.7333
2023-09,4.6386
2023-10,4.5417
2023-11,4.4759
2023-12,4.6039
2024-01,4.6461
2024-02,4.6606
2024-03,4.6327
2024-04,4.6616
2024-05,4.5750
2024-06,4.6674
2024-07,4.6758
2024-08,4.7865
2024-09,4.7862
2024-10,4.8517
2024-11,4.7567
2024-12,4.6501
2025-01,4.6666
2025-02,4.5379
2025-03,4.6219
2025-04,4.7662
2025-05,4.8737
2025-06,4.9256
2025-07,4.9400
2025-08,4.9729
2025-09,4.9480
2025-10,5.0120
2025-11,4.8946
2025-12,4.8204
2026-01,4.8949
