month,rate
2015-02,184.15
2015-03,189.07
2015-04,196.9
2015-05,194.66
2015-06,194.75
2015-07,195.0802
2015-08,200.78
2015-09,196.19
2015-10,191.2
2015-11,190.09
2015-12,195.74
2016-01,190.97
2016-02,182.15
2016-03,178.42
2016-04,177.84
2016-05,173.8
2016-06,179.11
2016-07,178.84
2016-08,162.84
2016-09,161.85
2016-10,159.38
2016-11,153.21
2016-12,159.79
2017-01,159.51
2017-02,158.47
2017-03,159.39
2017-04,156.26
2017-05,161.59
2017-06,155.75
2017-07,150.7073
2017-08,150.08
2017-09,143.32
2017-10,151.4
2017-11,149.41
2017-12,150.56
2018-01,150.06
2018-02,153.42
2018-03,149.71
2018-04,148.17
2018-05,148.73
2018-06,144.38
2018-07,143.38
2018-08,141.29
2018-09,139.8
2018-10,142.57
2018-11,141.38
2018-12,139.53
2019-01,136.03
2019-02,143.2
2019-03,143.31
2019-04,145.56
2019-05,143.74
2019-06,138.85
2019-07,137.03
2019-08,136.66
2019-09,132.48
2019-10,136.78
2019-11,142.6
2019-12,142.96
2020-01,143.53
2020-02,144.8
2020-03,146.7
2020-04,133.22
2020-05,141.94
2020-06,138.06
2020-07,138.88
2020-08,135.97
2020-09,137.19
2020-10,135.46
2020-11,137.31
2020-12,138.67
2021-01,136.9400
2021-02,138.9000
2021-03,143.1100
2021-04,142.8600
2021-05,142.7000
2021-06,142.3300
2021-07,143.3400
2021-08,141.9300
2021-09,142.7300
2021-10,141.0600
2021-11,144.3400
2021-12,144.9100
2022-01,141.8877
2022-02,146.3413
2022-03,144.9425
2022-04,147.3530
2022-05,144.3185
2022-06,142.1044
2022-07,138.8954
2022-08,137.4253
2022-09,138.2174
2022-10,133.8697
2022-11,134.9389
2022-12,135.9238
2023-01,133.5447
2023-02,133.1772
2023-03,130.1924
2023-04,129.4047
2023-05,127.6192
2023-06,127.3216
2023-07,124.1756
2023-08,116.0810
2023-09,125.9739
2023-10,122.9096
2023-11,122.1096
2023-12,118.6571
2024-01,119.3058
2024-02,121.0572
2024-03,121.1471
2024-04,120.4830
2024-05,119.1801
2024-06,117.8057
2024-07,118.8464
2024-08,119.5714
2024-09,116.9302
2024-10,117.9235
2024-11,118.6341
2024-12,117.6994
2025-01,119.0159
2025-02,116.3088
2025-03,119.6873
2025-04,118.1352
2025-05,116.1071
2025-06,116.1352
2025-07,114.6948
2025-08,112.6549
2025-09,112.4423
2025-10,111.6435
2025-11,111.1195
2025-12,109.5037
2026-01,109.7797
