month,rate
2015-02,727.13
2015-03,736.92
2015-04,709.98
2015-05,706.43
2015-06,760.7662
2015-07,742.052
2015-08,750.34
2015-09,746.18
2015-10,749.25
2015-11,730.16
2015-12,731.86
2016-01,737.58
2016-02,693.61
2016-03,717.13
2016-04,705.35
2016-05,683.86
2016-06,698.81
2016-07,698.35
2016-08,628.01
2016-09,628.52
2016-10,613.77
2016-11,584.32
2016-12,594.3
2017-01,594.79
2017-02,600.69
2017-03,605.96
2017-04,603.18
2017-05,621.91
2017-06,624.31
2017-07,608.4523
2017-08,624.09
2017-09,612.3
2017-10,648.69
2017-11,634.13
2017-12,642.59
2018-01,645.55
2018-02,683.79
2018-03,671.61
2018-04,674.61
2018-05,684.66
2018-06,643.7
2018-07,635.1
2018-08,626.74
2018-09,623.37
2018-10,635.93
2018-11,625.8
2018-12,618.82
2019-01,612.61
2019-02,633.59
2019-03,636.98
2019-04,640.83
2019-05,630.79
2019-06,607.17
2019-07,603.83
2019-08,594.95
2019-09,577.33
2019-10,594.48
2019-11,613.16
2019-12,615.87
2020-01,624.19
2020-02,628.34
2020-03,619.89
2020-04,577.03
2020-05,591.45
2020-06,593.41
2020-07,607.9
2020-08,616.41
2020-09,638.49
2020-10,619.54
2020-11,650.71
2020-12,663.55
2021-01,708.4500
2021-02,707.7300
2021-03,737.8200
2021-04,724.9000
2021-05,727.4400
2021-06,736.5800
2021-07,715.2200
2021-08,666.7200
2021-09,675.5800
2021-10,660.7500
2021-11,658.3500
2021-12,642.6200
2022-01,637.0112
2022-02,655.2144
2022-03,652.3739
2022-04,644.9698
2022-05,612.2020
2022-06,567.8591
2022-07,507.8963
2022-08,498.5724
2022-09,478.5980
2022-10,471.3978
2022-11,454.8515
2022-12,477.2735
2023-01,488.9586
2023-02,490.4231
2023-03,472.2812
2023-04,474.7734
2023-05,482.6384
2023-06,477.2351
2023-07,491.6605
2023-08,499.0657
2023-09,487.1045
2023-10,474.3925
2023-11,486.0284
2023-12,503.0878
2024-01,509.7148
2024-02,511.6606
2024-03,509.9746
2024-04,507.8302
2024-05,493.0518
2024-06,491.0103
2024-07,491.5370
2024-08,503.2940
2024-09,501.1564
2024-10,509.0178
2024-11,501.5324
2024-12,492.5378
2025-01,497.4373
2025-02,494.2943
2025-03,502.0095
2025-04,507.4208
2025-05,518.4789
2025-06,512.1380
2025-07,516.9122
2025-08,516.4560
2025-09,515.9186
2025-10,522.8649
2025-11,510.4207
2025-12,499.7654
2026-01,507.5074
