month,rate
2015-02,156.68
2015-03,161.91
2015-04,157.55
2015-05,163.56
2015-06,172.95
2015-07,184.0729
2015-08,196.36
2015-09,196.67
2015-10,210.21
2015-11,208.59
2015-12,205.27
2016-01,205.87
2016-02,222.51
2016-03,228.07
2016-04,230.47
2016-05,234.96
2016-06,242.29
2016-07,243.15
2016-08,218.4
2016-09,219.61
2016-10,214.81
2016-11,203.74
2016-12,205.51
2017-01,205.09
2017-02,204.58
2017-03,206.4
2017-04,206.79
2017-05,212.54
2017-06,214.84
2017-07,210.1246
2017-08,216.38
2017-09,212.29
2017-10,225.06
2017-11,218.52
2017-12,220.4
2018-01,222.43
2018-02,288.06
2018-03,293.35
2018-04,301.97
2018-05,308.21
2018-06,312.06
2018-07,324.93
2018-08,330.86
2018-09,351.9
2018-10,375.84
2018-11,393.96
2018-12,396.62
2019-01,389.84
2019-02,405.47
2019-03,409.83
2019-04,418.41
2019-05,416.31
2019-06,416.31
2019-07,429.81
2019-08,434.55
2019-09,439.12
2019-10,458.67
2019-11,586.4
2019-12,600.74
2020-01,598.72
2020-02,648.1
2020-03,639.75
2020-04,595.59
2020-05,692.71
2020-06,703.74
2020-07,750.91
2020-08,703.46
2020-09,760.9
2020-10,792.58
2020-11,860.99
2020-12,884.19
2021-01,885.2800
2021-02,886.7300
2021-03,914.7200
2021-04,859.1600
2021-05,918.0000
2021-06,924.9600
2021-07,910.7700
2021-08,885.4200
2021-09,889.9900
2021-10,844.9700
2021-11,833.2700
2021-12,809.0700
2022-01,754.6354
2022-02,737.1854
2022-03,715.2615
2022-04,601.8973
2022-05,537.5377
2022-06,512.6359
2022-07,525.5967
2022-08,516.2522
2022-09,505.3490
2022-10,484.4193
2022-11,504.7063
2022-12,618.7788
2023-01,634.2580
2023-02,628.8958
2023-03,613.4255
2023-04,625.3134
2023-05,637.5668
2023-06,673.4018
2023-07,968.5901
2023-08,1076.6614
2023-09,1052.7660
2023-10,1032.2150
2023-11,1018.5715
2023-12,1050.1050
2024-01,1070.6363
2024-02,1074.2641
2024-03,1054.5481
2024-04,1075.3120
2024-05,1048.3017
2024-06,1090.3459
2024-07,1098.8061
2024-08,1151.4528
2024-09,1184.4217
2024-10,1240.7727
2024-11,1189.0966
2024-12,1165.0369
2025-01,1173.8581
2025-02,1138.1488
2025-03,1157.7733
2025-04,1192.9573
2025-05,1220.1919
2025-06,1233.4506
2025-07,1237.1455
2025-08,1239.3592
2025-09,1235.5280
2025-10,1249.1046
2025-11,1219.6596
2025-12,1201.0841
2026-01,1229.3653
