month,rate
2015-02,13.02
2015-03,13.32
2015-04,12.9113
2015-05,13.34
2015-06,13.93
2015-07,14.2044
2015-08,14.31
2015-09,14.46
2015-10,14.29
2015-11,14.69
2015-12,14.66
2016-01,14.69
2016-02,19
2016-03,21.39
2016-04,20.38
2016-05,20.5
2016-06,20.62
2016-07,20.33
2016-08,19.68
2016-09,19.73
2016-10,19.61
2016-11,18.69
2016-12,19.22
2017-01,19.6
2017-02,19.72
2017-03,19.26
2017-04,19.43
2017-05,19.71
2017-06,20.84
2017-07,20.7982
2017-08,22.62
2017-09,21.99
2017-10,23.25
2017-11,22.82
2017-12,23.1831
2018-01,23.81
2018-02,27.78
2018-03,27.79
2018-04,28.5
2018-05,28.67
2018-06,32.65
2018-07,36.59
2018-08,36.13
2018-09,39.04
2018-10,51.85
2018-11,47.1
2018-12,46.32
2019-01,48.39
2019-02,49.0445
2019-03,52.93
2019-04,54.1
2019-05,53.97
2019-06,56.49
2019-07,54.96
2019-08,53.5296
2019-09,66.72
2019-10,70.55
2019-11,75.86
2019-12,77.1
2020-01,78.18
2020-02,78.99
2020-03,79.94
2020-04,74.47
2020-05,81.64
2020-06,83.42
2020-07,87.2755
2020-08,91.3814
2020-09,96.869
2020-10,96.6351
2020-11,102.27
2020-12,106.63
2021-01,111.5200
2021-02,117.6700
2021-03,125.6600
2021-04,125.4800
2021-05,129.5700
2021-06,133.2500
2021-07,133.4300
2021-08,131.7700
2021-09,133.8100
2021-10,134.4200
2021-11,137.2300
2021-12,135.1500
2022-01,134.5667
2022-02,142.0747
2022-03,144.7191
2022-04,145.5634
2022-05,148.6568
2022-06,147.1954
2022-07,152.4655
2022-08,155.2281
2022-09,162.1382
2022-10,164.1983
2022-11,172.4431
2022-12,198.8870
2023-01,213.5512
2023-02,226.5264
2023-03,230.8898
2023-04,251.2163
2023-05,270.7774
2023-06,291.3043
2023-07,320.9098
2023-08,345.7123
2023-09,442.0495
2023-10,432.8249
2023-11,426.4526
2023-12,446.2497
2024-01,1016.1491
2024-02,1038.2380
2024-03,1056.2063
2024-04,1082.9595
2024-05,1082.2707
2024-06,1130.1413
2024-07,1153.2360
2024-08,1202.5380
2024-09,1229.9268
2024-10,1270.0377
2024-11,1274.1826
2024-12,1268.3843
2025-01,1296.6640
2025-02,1292.8268
2025-03,1331.6527
2025-04,1385.9945
2025-05,1590.0161
2025-06,1532.9769
2025-07,1565.6925
2025-08,1700.0903
2025-09,1740.1327
2025-10,2005.5126
2025-11,1986.3850
2025-12,1838.1443
2026-01,1932.7338
