month,rate
2015-02,2.6952
2015-03,2.7753
2015-04,2.6406
2015-05,2.6775
2015-06,2.8268
2015-07,2.7869
2015-08,2.7986
2015-09,2.794
2015-10,2.7909
2015-11,2.7647
2015-12,2.7193
2016-01,2.7234
2016-02,2.5613
2016-03,2.5878
2016-04,2.5976
2016-05,2.5378
2016-06,2.6169
2016-07,2.6263
2016-08,2.3589
2016-09,2.3718
2016-10,2.32
2016-11,2.2004
2016-12,2.2194
2017-01,2.2149
2017-02,2.2094
2017-03,2.229
2017-04,2.233
2017-05,2.2931
2017-06,2.3179
2017-07,2.2669
2017-08,2.3344
2017-09,2.2903
2017-10,2.428
2017-11,2.3574
2017-12,2.3778
2018-01,2.3997
2018-02,2.5459
2018-03,2.5022
2018-04,2.5177
2018-05,2.548
2018-06,2.3881
2018-07,2.3585
2018-08,2.3358
2018-09,2.3107
2018-10,2.3544
2018-11,2.3113
2018-12,2.2872
2019-01,2.2631
2019-02,2.3381
2019-03,2.3385
2019-04,2.3607
2019-05,2.3358
2019-06,2.266
2019-07,2.261
2019-08,2.2374
2019-09,2.1714
2019-10,2.2345
2019-11,2.3059
2019-12,2.3113
2020-01,2.3397
2020-02,2.3521
2020-03,2.3183
2020-04,2.1057
2020-05,2.2065
2020-06,2.1963
2020-07,2.2447
2020-08,2.2789
2020-09,2.3599
2020-10,2.2846
2020-11,2.3561
2020-12,2.3812
2021-01,2.4159
2021-02,2.4401
2021-03,2.5151
2021-04,2.4561
2021-05,2.4934
2021-06,2.5320
2021-07,2.5005
2021-08,2.4477
2021-09,2.4625
2021-10,2.4426
2021-11,2.4729
2021-12,2.4102
2022-01,2.3656
2022-02,2.4396
2022-03,2.4306
2022-04,2.3649
2022-05,2.3355
2022-06,2.2218
2022-07,2.2033
2022-08,2.1474
2022-09,2.1160
2022-10,2.0283
2022-11,2.0154
2022-12,2.1597
2023-01,2.2207
2023-02,2.2182
2023-03,2.1484
2023-04,2.1894
2023-05,2.2286
2023-06,2.2134
2023-07,2.2790
2023-08,2.3067
2023-09,2.2609
2023-10,2.2136
2023-11,2.1816
2023-12,2.2439
2024-01,2.2646
2024-02,2.2716
2024-03,2.2580
2024-04,2.2721
2024-05,2.2299
2024-06,2.2749
2024-07,2.2790
2024-08,2.3330
2024-09,2.3328
2024-10,2.3648
2024-11,2.3185
2024-12,2.2665
2025-01,2.2745
2025-02,2.2118
2025-03,2.2528
2025-04,2.3231
2025-05,2.3755
2025-06,2.4008
2025-07,2.4078
2025-08,2.4238
2025-09,2.4117
2025-10,2.4429
2025-11,2.3857
2025-12,2.3495
2026-01,2.3858
