month,rate
2015-02,1.1877
2015-03,1.21
2015-04,1.5439
2015-05,1.5734
2015-06,1.6561
2015-07,1.6338
2015-08,1.6432
2015-09,1.6385
2015-10,1.6476
2015-11,1.616
2015-12,1.5899
2016-01,1.5923
2016-02,2.2397
2016-03,2.2963
2016-04,2.3454
2016-05,2.1514
2016-06,2.1931
2016-07,2.2472
2016-08,2.0742
2016-09,2.1741
2016-10,2.1325
2016-11,1.9816
2016-12,2.1525
2017-01,2.2128
2017-02,2.2797
2017-03,2.2035
2017-04,2.127
2017-05,2.149
2017-06,2.2013
2017-07,2.153
2017-08,2.1986
2017-09,2.1751
2017-10,2.306
2017-11,2.2369
2017-12,2.2582
2018-01,2.265
2018-02,2.403
2018-03,2.3599
2018-04,2.3946
2018-05,2.422
2018-06,2.2701
2018-07,2.2419
2018-08,2.2203
2018-09,2.19
2018-10,2.2314
2018-11,2.1905
2018-12,2.1678
2019-01,2.1449
2019-02,2.216
2019-03,2.2163
2019-04,2.2374
2019-05,2.2138
2019-06,2.1476
2019-07,2.1429
2019-08,2.1205
2019-09,2.0579
2019-10,2.1178
2019-11,2.1854
2019-12,2.1905
2020-01,2.2175
2020-02,2.2293
2020-03,2.1972
2020-04,1.9957
2020-05,2.0913
2020-06,2.0816
2020-07,2.1274
2020-08,2.1631
2020-09,2.2399
2020-10,2.1684
2020-11,2.2363
2020-12,2.2602
2021-01,2.2931
2021-02,2.3160
2021-03,2.3873
2021-04,2.3312
2021-05,2.3666
2021-06,2.4033
2021-07,2.3733
2021-08,2.3233
2021-09,2.3373
2021-10,2.3204
2021-11,2.3472
2021-12,2.2876
2022-01,2.2453
2022-02,2.3156
2022-03,2.3071
2022-04,2.2447
2022-05,2.2168
2022-06,2.1089
2022-07,2.0913
2022-08,2.0373
2022-09,2.0125
2022-10,1.9263
2022-11,1.9140
2022-12,2.0508
2023-01,2.1090
2023-02,2.1097
2023-03,2.0404
2023-04,2.0784
2023-05,2.1196
2023-06,2.1021
2023-07,2.1676
2023-08,2.1939
2023-09,2.1491
2023-10,2.1046
2023-11,2.0747
2023-12,2.1311
2024-01,2.1506
2024-02,2.1596
2024-03,2.1464
2024-04,2.1585
2024-05,2.1193
2024-06,2.1605
2024-07,2.1643
2024-08,2.2156
2024-09,2.2155
2024-10,2.2458
2024-11,2.2018
2024-12,2.1525
2025-01,2.1602
2025-02,2.1006
2025-03,2.1395
2025-04,2.2063
2025-05,2.2561
2025-06,2.2801
2025-07,2.2867
2025-08,2.3019
2025-09,2.2904
2025-10,2.3201
2025-11,2.2657
2025-12,2.2313
2026-01,2.2658
