month,rate
2015-02,2.5623
2015-03,2.6452
2015-04,2.7423
2015-05,2.7152
2015-06,2.6996
2015-07,2.7022
2015-08,2.8174
2015-09,2.7476
2015-10,2.6804
2015-11,2.6553
2015-12,2.7687
2016-01,2.706
2016-02,2.5554
2016-03,2.5147
2016-04,2.5136
2016-05,2.4544
2016-06,2.5349
2016-07,2.546
2016-08,2.3411
2016-09,2.3038
2016-10,2.2755
2016-11,2.1922
2016-12,2.3025
2017-01,2.3197
2017-02,2.2575
2017-03,2.3034
2017-04,2.2589
2017-05,2.3384
2017-06,2.2645
2017-07,2.2229
2017-08,2.2145
2017-09,2.118
2017-10,2.2116
2017-11,2.1873
2017-12,2.2043
2018-01,2.2066
2018-02,2.2466
2018-03,2.2192
2018-04,2.2424
2018-05,2.2493
2018-06,2.2294
2018-07,2.2257
2018-08,2.1921
2018-09,2.1769
2018-10,2.2045
2018-11,2.216
2018-12,2.1934
2019-01,2.1649
2019-02,2.2452
2019-03,2.2514
2019-04,2.2722
2019-05,2.2581
2019-06,2.2197
2019-07,2.2027
2019-08,2.194
2019-09,2.1387
2019-10,2.2076
2019-11,2.2665
2019-12,2.2821
2020-01,2.2977
2020-02,2.2305
2020-03,2.3471
2020-04,2.1237
2020-05,2.2267
2020-06,2.1831
2020-07,2.1854
2020-08,2.1479
2020-09,2.1668
2020-10,2.1384
2020-11,2.1681
2020-12,2.1908
2021-01,2.1661
2021-02,2.2025
2021-03,2.2642
2021-04,2.2684
2021-05,2.2649
2021-06,2.2648
2021-07,2.2867
2021-08,2.2687
2021-09,2.2974
2021-10,2.2746
2021-11,2.3198
2021-12,2.3288
2022-01,2.2972
2022-02,2.3496
2022-03,2.3369
2022-04,2.3488
2022-05,2.3486
2022-06,2.3093
2022-07,2.2719
2022-08,2.2975
2022-09,2.3138
2022-10,2.2435
2022-11,2.2492
2022-12,2.2746
2023-01,2.2879
2023-02,2.2376
2023-03,2.1988
2023-04,2.2167
2023-05,2.2220
2023-06,2.2471
2023-07,2.2731
2023-08,2.2521
2023-09,2.2850
2023-10,2.2600
2023-11,2.2573
2023-12,2.2491
2024-01,2.2623
2024-02,2.2814
2024-03,2.2848
2024-04,2.2897
2024-05,2.2910
2024-06,2.2959
2024-07,2.3165
2024-08,2.3310
2024-09,2.2931
2024-10,2.3228
2024-11,2.3530
2024-12,2.3462
2025-01,2.3678
2025-02,2.3142
2025-03,2.3612
2025-04,2.3268
2025-05,2.2845
2025-06,2.3169
2025-07,2.2861
2025-08,2.2584
2025-09,2.2635
2025-10,2.2546
2025-11,2.2504
2025-12,2.2157
2026-01,2.2262
