month,rate
2015-02,116.57
2015-03,119.1
2015-04,114.77
2015-05,116.33
2015-06,122.8779
2015-07,121.0961
2015-08,121.59
2015-09,121.39
2015-10,121.29
2015-11,120.12
2015-12,119.02
2016-01,120.12
2016-02,112.29
2016-03,113.55
2016-04,113.73
2016-05,111.14
2016-06,114.58
2016-07,114.99
2016-08,103.4
2016-09,103.88
2016-10,101.65
2016-11,96.41
2016-12,98.36
2017-01,97.35
2017-02,97.69
2017-03,99.8
2017-04,100.17
2017-05,104.98
2017-06,104.29
2017-07,102.0504
2017-08,105.44
2017-09,103.89
2017-10,111.19
2017-11,108.57
2017-12,111.78
2018-01,111.5
2018-02,118.44
2018-03,116.65
2018-04,116.85
2018-05,118.18
2018-06,111.86
2018-07,111.2
2018-08,109.27
2018-09,108.37
2018-10,110.33
2018-11,108.22
2018-12,107.17
2019-01,106.2
2019-02,109.65
2019-03,109.91
2019-04,111.09
2019-05,110.09
2019-06,107.09
2019-07,106.73
2019-08,105.83
2019-09,102.39
2019-10,105.38
2019-11,109.08
2019-12,109.53
2020-01,111.1
2020-02,111.75
2020-03,110.15
2020-04,99.98
2020-05,104.71
2020-06,104.13
2020-07,106.65
2020-08,108.02
2020-09,111.74
2020-10,108.23
2020-11,111.55
2020-12,112.74
2021-01,114.3800
2021-02,115.5200
2021-03,118.9700
2021-04,116.1400
2021-05,117.9100
2021-06,119.8800
2021-07,118.4500
2021-08,115.8900
2021-09,116.8700
2021-10,116.4100
2021-11,118.2500
2021-12,115.4500
2022-01,113.3225
2022-02,117.2093
2022-03,116.7457
2022-04,113.8805
2022-05,112.5347
2022-06,108.6714
2022-07,114.3942
2022-08,112.7366
2022-09,112.3116
2022-10,117.3371
2022-11,114.2786
2022-12,124.5159
2023-01,128.0922
2023-02,131.9752
2023-03,127.5219
2023-04,131.6063
2023-05,133.6637
2023-06,132.5955
2023-07,137.7480
2023-08,139.8822
2023-09,138.1545
2023-10,135.7564
2023-11,134.3621
2023-12,138.9790
2024-01,138.6328
2024-02,139.3613
2024-03,138.3268
2024-04,139.1966
2024-05,136.7026
2024-06,148.9213
2024-07,149.5975
2024-08,153.0716
2024-09,155.4700
2024-10,157.8947
2024-11,154.7438
2024-12,151.2211
2025-01,151.7431
2025-02,150.1776
2025-03,152.8683
2025-04,157.6299
2025-05,161.1671
2025-06,163.2698
2025-07,164.4479
2025-08,164.9026
2025-09,163.7075
2025-10,166.0355
2025-11,162.8912
2025-12,160.5873
2026-01,163.0026
