month,rate
2015-02,2.5612
2015-03,2.6458
2015-04,2.7423
2015-05,2.7152
2015-06,2.7
2015-07,2.7025
2015-08,2.8177
2015-09,2.7476
2015-10,2.6802
2015-11,2.6555
2015-12,2.769
2016-01,2.7059
2016-02,2.5555
2016-03,2.5149
2016-04,2.514
2016-05,2.4544
2016-06,2.5349
2016-07,2.5462
2016-08,2.3411
2016-09,2.3041
2016-10,2.2757
2016-11,2.1923
2016-12,2.3026
2017-01,2.3199
2017-02,2.2577
2017-03,2.3035
2017-04,2.2589
2017-05,2.3384
2017-06,2.2647
2017-07,2.2231
2017-08,2.2147
2017-09,2.1185
2017-10,2.2116
2017-11,2.1875
2017-12,2.2044
2018-01,2.2067
2018-02,2.2467
2018-03,2.2193
2018-04,2.2425
2018-05,2.2494
2018-06,2.2297
2018-07,2.2257
2018-08,2.1921
2018-09,2.1769
2018-10,2.2044
2018-11,2.216
2018-12,2.1933
2019-01,2.1649
2019-02,2.2451
2019-03,2.2516
2019-04,2.2722
2019-05,2.2581
2019-06,2.2198
2019-07,2.2029
2019-08,2.194
2019-09,2.1387
2019-10,2.2076
2019-11,2.2665
2019-12,2.2821
2020-01,2.2978
2020-02,2.3206
2020-03,2.3472
2020-04,2.1236
2020-05,2.2267
2020-06,2.1833
2020-07,2.1857
2020-08,2.1481
2020-09,2.1666
2020-10,2.1384
2020-11,2.1681
2020-12,2.1909
2021-01,2.1661
2021-02,2.2026
2021-03,2.2643
2021-04,2.2684
2021-05,2.2650
2021-06,2.2648
2021-07,2.2866
2021-08,2.2689
2021-09,2.2976
2021-10,2.2764
2021-11,2.3198
2021-12,2.3290
2022-01,2.2972
2022-02,2.3495
2022-03,2.3371
2022-04,2.3490
2022-05,2.3489
2022-06,2.3096
2022-07,2.2719
2022-08,2.2975
2022-09,2.3138
2022-10,2.2436
2022-11,2.2494
2022-12,2.2746
2023-01,2.2787
2023-02,2.2376
2023-03,2.1989
2023-04,2.2168
2023-05,2.2220
2023-06,2.2454
2023-07,2.2732
2023-08,2.2522
2023-09,2.2850
2023-10,2.2600
2023-11,2.2573
2023-12,2.2491
2024-01,2.2623
2024-02,2.2814
2024-03,2.2848
2024-04,2.2897
2024-05,2.2910
2024-06,2.2959
2024-07,2.3165
2024-08,2.3310
2024-09,2.2931
2024-10,2.3228
2024-11,2.3530
2024-12,2.3462
2025-01,2.3678
2025-02,2.3142
2025-03,2.3612
2025-04,2.3268
2025-05,2.2845
2025-06,2.3169
2025-07,2.2861
2025-08,2.2584
2025-09,2.2635
2025-10,2.2546
2025-11,2.2504
2025-12,2.2157
2026-01,2.2262
