month,rate
2015-02,0.5709
2015-03,0.5814
2015-04,0.5562
2015-05,0.5638
2015-06,0.5954
2015-07,0.587
2015-08,0.5895
2015-09,0.5888
2015-10,0.5882
2015-11,0.5828
2015-12,0.5731
2016-01,0.574
2016-02,0.5395
2016-03,0.5452
2016-04,0.5472
2016-05,0.5346
2016-06,0.5512
2016-07,0.5534
2016-08,0.4974
2016-09,0.4996
2016-10,0.4886
2016-11,0.4635
2016-12,0.4674
2017-01,0.4666
2017-02,0.4653
2017-03,0.4695
2017-04,0.4703
2017-05,0.483
2017-06,0.4882
2017-07,0.4778
2017-08,0.4919
2017-09,0.4824
2017-10,0.5117
2017-11,0.4964
2017-12,0.5019
2018-01,0.5054
2018-02,0.5362
2018-03,0.527
2018-04,0.5303
2018-05,0.5366
2018-06,0.5038
2018-07,0.4979
2018-08,0.492
2018-09,0.4872
2018-10,0.4959
2018-11,0.4867
2018-12,0.4817
2019-01,0.4766
2019-02,0.4924
2019-03,0.4925
2019-04,0.4971
2019-05,0.4919
2019-06,0.4772
2019-07,0.4762
2019-08,0.4712
2019-09,0.4573
2019-10,0.4706
2019-11,0.4856
2019-12,0.4868
2020-01,0.4928
2020-02,0.4955
2020-03,0.4883
2020-04,0.44
2020-05,0.46
2020-06,0.463
2020-07,0.4728
2020-08,0.48
2020-09,0.497
2020-10,0.4813
2020-11,0.4963
2020-12,0.5017
2021-01,0.5089
2021-02,0.5139
2021-03,0.5298
2021-04,0.5174
2021-05,0.5251
2021-06,0.5333
2021-07,0.5266
2021-08,0.5155
2021-09,0.5187
2021-10,0.5144
2021-11,0.5208
2021-12,0.5077
2022-01,0.4983
2022-02,0.5137
2022-03,0.5119
2022-04,0.4982
2022-05,0.4919
2022-06,0.4679
2022-07,0.4641
2022-08,0.4523
2022-09,0.4457
2022-10,0.4272
2022-11,0.4246
2022-12,0.4548
2023-01,0.4677
2023-02,0.4671
2023-03,0.4524
2023-04,0.4613
2023-05,0.4694
2023-06,0.4662
2023-07,0.4801
2023-08,0.4858
2023-09,0.4749
2023-10,0.4650
2023-11,0.4583
2023-12,0.4714
2024-01,0.4757
2024-02,0.4772
2024-03,0.4743
2024-04,0.4773
2024-05,0.4684
2024-06,0.4779
2024-07,0.4787
2024-08,0.4901
2024-09,0.4900
2024-10,0.4967
2024-11,0.4870
2024-12,0.4761
2025-01,0.4778
2025-02,0.4646
2025-03,0.4732
2025-04,0.4880
2025-05,0.4990
2025-06,0.5043
2025-07,0.5058
2025-08,0.5091
2025-09,0.5066
2025-10,0.5131
2025-11,0.5011
2025-12,0.4935
2026-01,0.5012
