month,rate
2015-02,2343.9
2015-03,2397.58
2015-04,2316.07
2015-05,2348.4
2015-06,2473.272
2015-07,2427.6818
2015-08,2554.99
2015-09,2450.59
2015-10,2430.85
2015-11,2424.93
2015-12,2368.66
2016-01,2375.2
2016-02,2246.51
2016-03,2254.05
2016-04,2263.64
2016-05,2210.84
2016-06,2283.34
2016-07,2463.28
2016-08,2184.36
2016-09,2220.77
2016-10,2164.44
2016-11,2060.49
2016-12,2073.11
2017-01,2091.19
2017-02,2070.04
2017-03,2102.18
2017-04,2109.5
2017-05,2169.99
2017-06,2227.22
2017-07,2188.3969
2017-08,2277.05
2017-09,2229.85
2017-10,2376.49
2017-11,2311.33
2017-12,2329.55
2018-01,2354.47
2018-02,2501.5
2018-03,2459.59
2018-04,2475.82
2018-05,2538.41
2018-06,2374.79
2018-07,2339.82
2018-08,2329.25
2018-09,2313.92
2018-10,2349.13
2018-11,2340.84
2018-12,2296.56
2019-01,2303.47
2019-02,2372.05
2019-03,2378.96
2019-04,2405.42
2019-05,2387.91
2019-06,2321.46
2019-07,2319.77
2019-08,2299.02
2019-09,2236.71
2019-10,2328.16
2019-11,2408.92
2019-12,2421.65
2020-01,2455.03
2020-02,2472.74
2020-03,2442.17
2020-04,2230.35
2020-05,2352.6
2020-06,2346.29
2020-07,2396.38
2020-08,2452.98
2020-09,2543.81
2020-10,2465.26
2020-11,2546.59
2020-12,2578.41
2021-01,2623.8000
2021-02,2659.5200
2021-03,2755.4100
2021-04,2682.0100
2021-05,2727.9100
2021-06,2790.1900
2021-07,2765.8600
2021-08,2711.6400
2021-09,2729.2400
2021-10,2711.0900
2021-11,2747.7300
2021-12,2680.7200
2022-01,2634.4012
2022-02,2733.9764
2022-03,2732.1001
2022-04,2655.6045
2022-05,2627.7680
2022-06,2496.1522
2022-07,2511.0480
2022-08,2438.2786
2022-09,2417.4010
2022-10,2324.0794
2022-11,2318.2240
2022-12,2496.7748
2023-01,2551.9194
2023-02,2558.9551
2023-03,2472.4257
2023-04,2543.2932
2023-05,2591.7815
2023-06,3484.0389
2023-07,3612.7181
2023-08,3662.9688
2023-09,3583.5950
2023-10,3506.8970
2023-11,3456.1393
2023-12,3566.9549
2024-01,3596.4300
2024-02,3618.1951
2024-03,3600.6163
2024-04,3627.6074
2024-05,3569.8672
2024-06,3645.9356
2024-07,3656.1642
2024-08,3752.9139
2024-09,3752.9560
2024-10,3831.3892
2024-11,3764.3707
2024-12,3724.6317
2025-01,3751.7976
2025-02,3650.4961
2025-03,3722.9552
2025-04,3842.1971
2025-05,3944.3419
2025-06,3989.4529
2025-07,4005.0221
2025-08,4031.5732
2025-09,4019.1328
2025-10,4068.7331
2025-11,3927.3932
2025-12,3876.0939
2026-01,3956.8503
