month,rate
2015-02,10.47
2015-03,10.65
2015-04,10.19
2015-05,10.336
2015-06,10.8965
2015-07,10.7426
2015-08,10.78
2015-09,10.75
2015-10,10.75
2015-11,10.67
2015-12,10.48
2016-01,10.51
2016-02,9.8875
2016-03,9.9608
2016-04,9.9113
2016-05,9.7825
2016-06,10.06
2016-07,10.1
2016-08,9.1389
2016-09,9.1892
2016-10,8.9819
2016-11,8.5252
2016-12,8.5925
2017-01,8.5937
2017-02,8.5537
2017-03,8.6296
2017-04,8.6203
2017-05,8.8521
2017-06,8.9478
2017-07,8.7512
2017-08,9.0117
2017-09,8.8413
2017-10,9.3731
2017-11,9.1005
2017-12,9.1789
2018-01,9.2636
2018-02,9.828
2018-03,9.6592
2018-04,9.719
2018-05,9.836
2018-06,9.219
2018-07,9.1046
2018-08,9.0169
2018-09,8.9202
2018-10,9.0888
2018-11,8.9222
2018-12,8.8295
2019-01,8.7363
2019-02,9.0258
2019-03,9.0273
2019-04,9.1132
2019-05,9.0169
2019-06,8.7474
2019-07,8.7284
2019-08,8.6372
2019-09,8.3822
2019-10,8.6261
2019-11,8.9014
2019-12,8.9222
2020-01,9.0321
2020-02,9.08
2020-03,8.9495
2020-04,8.1286
2020-05,8.5179
2020-06,8.4785
2020-07,8.6651
2020-08,8.7975
2020-09,9.1101
2020-10,8.8193
2020-11,9.0953
2020-12,9.1924
2021-01,9.3264
2021-02,9.4194
2021-03,9.7093
2021-04,9.4812
2021-05,9.6253
2021-06,9.7745
2021-07,9.6526
2021-08,9.4491
2021-09,9.5061
2021-10,9.4291
2021-11,9.5462
2021-12,9.3040
2022-01,9.1319
2022-02,9.4176
2022-03,9.3831
2022-04,9.1295
2022-05,9.0158
2022-06,8.5770
2022-07,8.5056
2022-08,8.2895
2022-09,8.1683
2022-10,7.8300
2022-11,7.7800
2022-12,8.3373
2023-01,8.5726
2023-02,8.5629
2023-03,8.2934
2023-04,8.4517
2023-05,8.6030
2023-06,8.5446
2023-07,8.7978
2023-08,8.9045
2023-09,8.7255
2023-10,8.5375
2023-11,8.4130
2023-12,8.6596
2024-01,8.7244
2024-02,8.7690
2024-03,8.7123
2024-04,8.7785
2024-05,8.6254
2024-06,8.7734
2024-07,8.7822
2024-08,8.9985
2024-09,8.9757
2024-10,9.1392
2024-11,8.9496
2024-12,8.7517
2025-01,8.7701
2025-02,8.5398
2025-03,8.6876
2025-04,8.9667
2025-05,9.1606
2025-06,9.2680
2025-07,9.3110
2025-08,9.3501
2025-09,9.3162
2025-10,9.4137
2025-11,9.2112
2025-12,9.0809
2026-01,9.2216
