month,rate
2015-02,3.9326
2015-03,4.3555
2015-04,4.81
2015-05,4.5252
2015-06,4.7261
2015-07,4.8731
2015-08,5.0242
2015-09,5.4726
2015-10,6.2884
2015-11,6.1072
2015-12,5.7483
2016-01,5.9232
2016-02,5.7247
2016-03,5.6993
2016-04,5.1887
2016-05,5.1005
2016-06,5.1669
2016-07,4.9889
2016-08,4.2716
2016-09,4.2823
2016-10,4.203
2016-11,3.8965
2016-12,4.2371
2017-01,4.1276
2017-02,3.9721
2017-03,3.8135
2017-04,3.8494
2017-05,4.0181
2017-06,4.2236
2017-07,4.2112
2017-08,4.1145
2017-09,4.0383
2017-10,4.2435
2017-11,4.1728
2017-12,4.3121
2018-01,4.4137
2018-02,4.5276
2018-03,4.5523
2018-04,4.624
2018-05,4.8142
2018-06,4.8699
2018-07,4.9419
2018-08,5.0198
2018-09,5.2733
2018-10,5.4364
2018-11,4.8019
2018-12,4.8461
2019-01,4.8927
2019-02,4.9631
2019-03,4.853
2019-04,439943
2019-05,5.1227
2019-06,5.0867
2019-07,4.8945
2019-08,4.6988
2019-09,4.892
2019-10,5.1205
2019-11,5.2385
2019-12,5.4218
2020-01,5.2977
2020-02,5.4965
2020-03,5.6644
2020-04,6.0201
2020-05,6.6448
2020-06,6.9639
2020-07,6.5788
2020-08,6.4923
2020-09,7.2432
2020-10,7.0864
2020-11,7.3697
2020-12,7.0412
2021-01,6.9190
2021-02,7.2223
2021-03,7.7229
2021-04,7.6298
2021-05,7.7311
2021-06,7.4880
2021-07,6.9395
2021-08,7.1873
2021-09,7.3045
2021-10,7.2093
2021-11,7.6693
2021-12,7.4069
2022-01,7.5669
2022-02,7.4609
2022-03,7.0056
2022-04,6.4065
2022-05,6.0255
2022-06,6.2063
2022-07,6.3263
2022-08,6.5213
2022-09,6.0315
2022-10,5.8721
2022-11,5.9450
2022-12,6.4988
2023-01,6.6052
2023-02,6.3178
2023-03,6.2794
2023-04,6.4330
2023-05,6.2695
2023-06,6.1256
2023-07,6.0726
2023-08,6.1785
2023-09,6.2383
2023-10,6.0191
2023-11,6.1422
2023-12,6.1456
2024-01,6.1539
2024-02,6.2577
2024-03,6.2167
2024-04,6.3852
2024-05,6.5811
2024-06,6.5109
2024-07,6.9220
2024-08,7.0769
2024-09,7.1415
2024-10,7.2441
2024-11,7.3705
2024-12,7.3155
2025-01,7.7852
2025-02,7.4452
2025-03,7.1666
2025-04,7.3517
2025-05,7.8761
2025-06,7.6038
2025-07,7.3854
2025-08,7.5367
2025-09,7.4190
2025-10,7.2300
2025-11,7.1817
2025-12,6.9885
2026-01,7.3126
