month,rate
2015-02,1.512
2015-03,1.5383
2015-04,1.4686
2015-05,1.504
2015-06,1.555
2015-07,1.5711
2015-08,1.5634
2015-09,1.5648
2015-10,1.523
2015-11,1.546
2015-12,1.521
2016-01,1.5003
2016-02,1.4144
2016-03,1.4318
2016-04,1.411
2016-05,1.4403
2016-06,1.4619
2016-07,1.4672
2016-08,1.3178
2016-09,1.325
2016-10,1.2961
2016-11,1.2293
2016-12,1.2399
2017-01,1.2374
2017-02,1.2343
2017-03,1.2453
2017-04,1.2475
2017-05,1.281
2017-06,1.2949
2017-07,1.2664
2017-08,1.3042
2017-09,1.2795
2017-10,1.3564
2017-11,1.317
2017-12,1.3284
2018-01,1.3406
2018-02,1.4223
2018-03,1.3979
2018-04,1.4065
2018-05,1.4234
2018-06,1.3342
2018-07,1.3176
2018-08,1.3049
2018-09,1.2909
2018-10,1.3153
2018-11,1.2912
2018-12,1.2778
2019-01,1.2643
2019-02,1.3062
2019-03,1.3064
2019-04,1.3188
2019-05,1.3049
2019-06,1.2659
2019-07,1.2632
2019-08,1.25
2019-09,1.213
2019-10,1.2483
2019-11,1.2882
2019-12,1.2912
2020-01,1.3071
2020-02,1.314
2020-03,1.2952
2020-04,1.1763
2020-05,1.2327
2020-06,1.227
2020-07,1.254
2020-08,1.2732
2020-09,1.3184
2020-10,1.2763
2020-11,1.3163
2020-12,1.3303
2021-01,1.3497
2021-02,1.3632
2021-03,1.4051
2021-04,1.3721
2021-05,1.3930
2021-06,1.4146
2021-07,1.3969
2021-08,1.3674
2021-09,1.3757
2021-10,1.3646
2021-11,1.3815
2021-12,1.3465
2022-01,1.3215
2022-02,1.3629
2022-03,1.3579
2022-04,1.3212
2022-05,1.3048
2022-06,1.2471
2022-07,1.2309
2022-08,1.1996
2022-09,1.1821
2022-10,1.1331
2022-11,1.1259
2022-12,1.2065
2023-01,1.2406
2023-02,1.2392
2023-03,1.2002
2023-04,1.2231
2023-05,1.2450
2023-06,1.2366
2023-07,1.2732
2023-08,1.2886
2023-09,1.2631
2023-10,1.2367
2023-11,1.2188
2023-12,1.2536
2024-01,1.2651
2024-02,1.2690
2024-03,1.2614
2024-04,1.2693
2024-05,1.2457
2024-06,1.2709
2024-07,1.2732
2024-08,1.3033
2024-09,1.3032
2024-10,1.3211
2024-11,1.2952
2024-12,1.2662
2025-01,1.2707
2025-02,1.2357
2025-03,1.2585
2025-04,1.2978
2025-05,1.3271
2025-06,1.3412
2025-07,1.3451
2025-08,1.3541
2025-09,1.3473
2025-10,1.3647
2025-11,1.3328
2025-12,1.3126
2026-01,1.3329
