month,rate
2015-02,14.56
2015-03,14.85
2015-04,14.96
2015-05,14.83
2015-06,15.2728
2015-07,15.538
2015-08,15.64
2015-09,15.82
2015-10,16.01
2015-11,15.79
2015-12,16.46
2016-01,17.24
2016-02,16.72
2016-03,16.3
2016-04,16.04
2016-05,15.34
2016-06,16.38
2016-07,15.87
2016-08,14.1699
2016-09,14.05
2016-10,13.59
2016-11,13.09
2016-12,13.4
2017-01,13.34
2017-02,13.01
2017-03,12.97
2017-04,12.7
2017-05,13.37
2017-06,13.26
2017-07,13.0293
2017-08,13.23
2017-09,13.06
2017-10,13.79
2017-11,13.6
2017-12,13.83
2018-01,13.37
2018-02,13.64
2018-03,13.26
2018-04,13.53
2018-05,13.62
2018-06,13.28
2018-07,13.66
2018-08,13.4
2018-09,13.72
2018-10,14.1431
2018-11,13.89
2018-12,13.5
2019-01,13.45
2019-02,13.77
2019-03,13.8
2019-04,14.1
2019-05,13.79
2019-06,13.61
2019-07,13.62
2019-08,13.213
2019-09,13.41
2019-10,13.55
2019-11,13.94
2019-12,14.06
2020-01,13.99
2020-02,14.09
2020-03,14.26
2020-04,13.79
2020-05,15.14
2020-06,14.71
2020-07,14.7
2020-08,14.55
2020-09,15.29
2020-10,14.86
2020-11,14.95
2020-12,14.77
2021-01,14.6800
2021-02,14.8800
2021-03,15.2400
2021-04,15.1100
2021-05,15.0300
2021-06,15.1500
2021-07,15.1600
2021-08,15.1700
2021-09,15.4200
2021-10,15.2200
2021-11,15.3500
2021-12,15.5800
2022-01,15.6027
2022-02,15.7470
2022-03,15.6170
2022-04,15.2036
2022-05,15.2871
2022-06,15.1280
2022-07,15.0019
2022-08,15.2724
2022-09,15.1067
2022-10,14.9294
2022-11,15.1432
2022-12,15.5183
2023-01,15.9666
2023-02,15.6663
2023-03,15.7714
2023-04,16.1573
2023-05,16.3494
2023-06,16.8238
2023-07,16.9422
2023-08,16.9224
2023-09,17.0529
2023-10,16.8386
2023-11,16.6720
2023-12,16.9548
2024-01,16.9516
2024-02,17.3492
2024-03,17.2573
2024-04,17.3802
2024-05,17.2228
2024-06,17.1922
2024-07,17.1861
2024-08,17.5869
2024-09,17.3525
2024-10,17.4757
2024-11,17.3238
2024-12,17.2870
2025-01,17.3429
2025-02,17.1054
2025-03,17.4092
2025-04,17.6586
2025-05,18.3081
2025-06,18.0137
2025-07,18.1260
2025-08,18.2200
2025-09,18.3097
2025-10,18.2581
2025-11,18.1954
2025-12,17.6973
2026-01,17.8567
