month,rate
2017-01,2.4841
2017-02,2.4778
2017-03,2.4998
2017-04,2.5044
2017-05,2.5717
2017-06,2.5995
2017-07,2.5424
2017-08,2.6181
2017-09,2.5686
2017-10,2.7231
2017-11,2.6439
2017-12,2.6667
2018-01,2.6913
2018-02,2.7580
2018-03,2.7349
2018-04,2.7571
2018-05,2.8775
2018-06,2.667
2018-07,2.6391
2018-08,2.5928
2018-09,2.6405
2018-10,2.7621
2018-11,2.7154
2018-12,2.6904
2019-01,2.698
2019-02,2.8142
2019-03,2.8
2019-04,2.7766
2019-05,2.7312
2019-06,2.63
2019-07,2.6037
2019-08,2.5331
2019-09,2.4901
2019-10,2.5602
2019-11,2.6309
2019-12,2.6425
2020-01,2.754
2020-02,2.782
2020-03,2.8555
2020-04,2.942
2020-05,3.0555
2020-06,2.9371
2020-07,2.9944
2020-08,3.0362
2020-09,3.2506
2020-10,3.3204
2020-11,3.3419
2020-12,3.3971
2021-01,3.4034
2021-02,3.4572
2021-03,3.6568
2021-04,3.6159
2021-05,3.6098
2021-06,3.5579
2021-07,3.5398
2021-08,3.4605
2021-09,3.4560
2021-10,3.4114
2021-11,3.3681
2021-12,3.3422
2022-01,3.3257
2022-02,3.5265
2022-03,3.4750
2022-04,4.3203
2022-05,4.3122
2022-06,4.2016
2022-07,4.1605
2022-08,4.0548
2022-09,2.9848
2022-10,2.8555
2022-11,2.8767
2022-12,3.0465
2023-01,3.1077
2023-02,3.0980
2023-03,3.0125
2023-04,3.0578
2023-05,3.1250
2023-06,3.0914
2023-07,3.1830
2023-08,3.2216
2023-09,3.1622
2023-10,3.0912
2023-11,4.0218
2023-12,4.1426
2024-01,4.1683
2024-02,4.1812
2024-03,4.1259
2024-04,4.1463
2024-05,4.0736
2024-06,4.1560
2024-07,4.1634
2024-08,4.2619
2024-09,4.2616
2024-10,4.3201
2024-11,4.2354
2024-12,4.1405
2025-01,4.1559
2025-02,4.0406
2025-03,4.1154
2025-04,4.2443
2025-05,4.3397
2025-06,4.3904
2025-07,4.4019
2025-08,4.4333
2025-09,4.5277
2025-10,4.6208
2025-11,4.5392
2025-12,4.4824
2026-01,3.9320
