month,rate
2015-02,3.0242
2015-03,3.0794
2015-04,2.943
2015-05,2.9841
2015-06,3.1505
2015-07,3.1294
2015-08,3.1425
2015-09,3.1452
2015-10,3.1105
2015-11,3.0814
2015-12,3.0307
2016-01,3.0353
2016-02,2.8546
2016-03,2.8842
2016-04,2.895
2016-05,2.8284
2016-06,2.9166
2016-07,2.9491
2016-08,2.629
2016-09,2.6633
2016-10,2.5857
2016-11,2.4709
2016-12,2.4922
2017-01,2.4686
2017-02,2.4809
2017-03,2.503
2017-04,2.5075
2017-05,2.5605
2017-06,2.5882
2017-07,2.5313
2017-08,2.6067
2017-09,2.5574
2017-10,2.7112
2017-11,2.6324
2017-12,2.6551
2018-01,2.6795
2018-02,2.8428
2018-03,2.794
2018-04,2.8113
2018-05,2.8451
2018-06,2.6666
2018-07,2.6335
2018-08,2.6082
2018-09,2.5802
2018-10,2.629
2018-11,2.5808
2018-12,2.554
2019-01,2.527
2019-02,2.6108
2019-03,2.6112
2019-04,2.6377
2019-05,2.6098
2019-06,2.5318
2019-07,2.5263
2019-08,2.4999
2019-09,2.4261
2019-10,2.4967
2019-11,2.5764
2019-12,2.5824
2020-01,2.6142
2020-02,2.6281
2020-03,2.5903
2020-04,2.3527
2020-05,2.4654
2020-06,2.454
2020-07,2.508
2020-08,2.5463
2020-09,2.6368
2020-10,2.5526
2020-11,2.6325
2020-12,2.6606
2021-01,2.6994
2021-02,2.7263
2021-03,2.8102
2021-04,2.7442
2021-05,2.7859
2021-06,2.8291
2021-07,2.7938
2021-08,2.7349
2021-09,2.7514
2021-10,2.7291
2021-11,2.7630
2021-12,2.6929
2022-01,2.6431
2022-02,2.7258
2022-03,2.7158
2022-04,2.6424
2022-05,2.6095
2022-06,2.4825
2022-07,2.4618
2022-08,2.3993
2022-09,2.3642
2022-10,2.2663
2022-11,2.2518
2022-12,2.4131
2023-01,2.4812
2023-02,2.4784
2023-03,2.4004
2023-04,2.4462
2023-05,2.4900
2023-06,2.4731
2023-07,2.5464
2023-08,2.5773
2023-09,2.5441
2023-10,2.4910
2023-11,2.4547
2023-12,2.5259
2024-01,2.5454
2024-02,2.5585
2024-03,2.5413
2024-04,2.5572
2024-05,2.5096
2024-06,2.5727
2024-07,2.5774
2024-08,2.6385
2024-09,2.6383
2024-10,2.6741
2024-11,2.6150
2024-12,2.5522
2025-01,2.5597
2025-02,2.4793
2025-03,2.5304
2025-04,2.6059
2025-05,2.6707
2025-06,2.6981
2025-07,2.7046
2025-08,2.7224
2025-09,2.7107
2025-10,2.7460
2025-11,2.6831
2025-12,2.6435
2026-01,2.6842
