month,rate
2015-02,1.8251
2015-03,1.909
2015-04,1.8756
2015-05,1.8427
2015-06,1.9017
2015-07,1.9354
2015-08,2.0363
2015-09,2.0555
2015-10,2.0236
2015-11,2.0247
2015-12,2.0296
2016-01,2.0746
2016-02,2.0539
2016-03,1.9606
2016-04,1.8631
2016-05,1.8239
2016-06,1.8916
2016-07,1.8799
2016-08,1.7171
2016-09,1.7153
2016-10,1.7119
2016-11,1.5999
2016-12,1.6737
2017-01,1.6579
2017-02,1.6162
2017-03,1.6296
2017-04,1.665
2017-05,1.7219
2017-06,1.7406
2017-07,1.6829
2017-08,1.6426
2017-09,1.6076
2017-10,1.6619
2017-11,1.6434
2017-12,1.6905
2018-01,1.7231
2018-02,1.7562
2018-03,1.7702
2018-04,1.8224
2018-05,1.7929
2018-06,1.7185
2018-07,1.7515
2018-08,1.7251
2018-09,1.6819
2018-10,1.7047
2018-11,1.68
2018-12,1.6988
2019-01,1.6965
2019-02,1.7446
2019-03,1.7207
2019-04,1.7578
2019-05,1.739
2019-06,1.6973
2019-07,1.6876
2019-08,1.6413
2019-09,1.6113
2019-10,1.6559
2019-11,1.687
2019-12,1.7168
2020-01,1.7143
2020-02,1.7239
2020-03,1.7143
2020-04,1.7094
2020-05,1.7446
2020-06,1.7031
2020-07,1.6997
2020-08,1.7098
2020-09,1.7352
2020-10,1.7055
2020-11,1.7256
2020-12,1.7382
2021-01,1.7223
2021-02,1.7215
2021-03,1.7727
2021-04,1.7224
2021-05,1.7390
2021-06,1.7142
2021-07,1.7160
2021-08,1.7207
2021-09,1.7371
2021-10,1.7401
2021-11,1.7019
2021-12,1.6958
2022-01,1.7066
2022-02,1.7057
2022-03,1.7241
2022-04,1.6590
2022-05,1.6300
2022-06,1.6018
2022-07,1.5927
2022-08,1.5440
2022-09,1.5338
2022-10,1.5178
2022-11,1.5513
2022-12,1.6144
2023-01,1.6825
2023-02,1.6610
2023-03,1.6104
2023-04,1.6784
2023-05,1.6727
2023-06,1.6803
2023-07,1.6781
2023-08,1.6979
2023-09,1.7141
2023-10,1.6608
2023-11,1.6639
2023-12,1.7184
2024-01,1.6878
2024-02,1.7165
2024-03,1.7064
2024-04,1.7255
2024-05,1.7205
2024-06,1.7381
2024-07,1.7453
2024-08,1.7818
2024-09,1.7724
2024-10,1.7949
2024-11,1.7922
2024-12,1.7719
2025-01,1.8203
2025-02,1.7712
2025-03,1.7883
2025-04,1.8585
2025-05,1.8475
2025-06,1.8632
2025-07,1.8373
2025-08,1.8385
2025-09,1.8691
2025-10,1.8773
2025-11,1.8697
2025-12,1.8382
2026-01,1.8382
