month,rate
2015-02,1382.42
2015-03,1418.5
2015-04,1363
2015-05,1388.09
2015-06,1457.6063
2015-07,1443.2509
2015-08,1444.63
2015-09,1448.5
2015-10,1442.2
2015-11,1433.33
2015-12,1408.25
2016-01,1410.37
2016-02,1322.15
2016-03,1335.82
2016-04,1340.86
2016-05,1310
2016-06,1356.68
2016-07,1402.64
2016-08,1271.67
2016-09,1313.12
2016-10,1287.01
2016-11,1193.65
2016-12,1425.87
2017-01,1440.32
2017-02,1518.18
2017-03,1615.09
2017-04,1671.65
2017-05,1780.65
2017-06,1825.81
2017-07,1859.1459
2017-08,2024.04
2017-09,2048.14
2017-10,2116.73
2017-11,2061.1
2017-12,2092.16
2018-01,2138.94
2018-02,2269.98
2018-03,2243.56
2018-04,2260.96
2018-05,2298.86
2018-06,2154.65
2018-07,2129.22
2018-08,2115.24
2018-09,2092.55
2018-10,2137.37
2018-11,2093.04
2018-12,2071.3
2019-01,2055.75
2019-02,2129.1
2019-03,2129.43
2019-04,2149.71
2019-05,2147.21
2019-06,2084.3
2019-07,2084.2
2019-08,2064.29
2019-09,2006.38
2019-10,2075.37
2019-11,2144.84
2019-12,2149.85
2020-01,2200.7
2020-02,2221.39
2020-03,2194.63
2020-04,2009.19
2020-05,2115.3
2020-06,2184.23
2020-07,2382.9
2020-08,2486.47
2020-09,2576.86
2020-10,2507.94
2020-11,2566.89
2020-12,2605.12
2021-01,2658.8900
2021-02,2686.7800
2021-03,2777.8900
2021-04,2696.0300
2021-05,2754.2800
2021-06,2827.6800
2021-07,2759.0900
2021-08,2737.6200
2021-09,2723.4100
2021-10,2697.2400
2021-11,2733.5000
2021-12,2698.3000
2022-01,2632.6507
2022-02,2731.2502
2022-03,2707.9290
2022-04,2658.2468
2022-05,2605.0655
2022-06,2478.7749
2022-07,2467.9658
2022-08,2390.5327
2022-09,2400.8514
2022-10,2311.6149
2022-11,2316.5351
2022-12,2455.5086
2023-01,2522.1451
2023-02,2519.3010
2023-03,2453.2220
2023-04,2525.7162
2023-05,2563.0911
2023-06,2887.6588
2023-07,3023.8604
2023-08,3195.8357
2023-09,3105.6490
2023-10,3009.9000
2023-11,3077.0405
2023-12,3339.7648
2024-01,3392.1852
2024-02,3442.5407
2024-03,3494.2655
2024-04,3518.9135
2024-05,3464.6971
2024-06,3562.5937
2024-07,3620.9539
2024-08,3678.7129
2024-09,3728.4882
2024-10,3767.7099
2024-11,3697.3669
2024-12,3616.5008
2025-01,3612.8934
2025-02,3525.3175
2025-03,3601.5808
2025-04,3714.5962
2025-05,3855.8359
2025-06,3889.5421
2025-07,3910.9694
2025-08,3940.3622
2025-09,3910.5818
2025-10,3824.0692
2025-11,3027.7156
2025-12,2986.0494
2026-01,3069.8350
