month,rate
2015-02,1.2973
2015-03,1.4421
2015-04,1.4611
2015-05,1.4523
2015-06,1.4604
2015-07,1.461
2015-08,1.5048
2015-09,1.52
2015-10,1.4919
2015-11,1.4791
2015-12,1.5502
2016-01,1.4811
2016-02,1.4194
2016-03,1.4219
2016-04,1.3735
2016-05,1.3907
2016-06,1.435
2016-07,1.4062
2016-08,1.2995
2016-09,1.2821
2016-10,1.266
2016-11,1.2161
2016-12,1.2618
2017-01,1.2698
2017-02,1.2363
2017-03,1.2557
2017-04,1.2348
2017-05,1.2786
2017-06,1.2647
2017-07,1.2345
2017-08,1.2446
2017-09,1.2346
2017-10,1.3047
2017-11,1.293
2017-12,1.3062
2018-01,1.32
2018-02,1.3452
2018-03,1.3097
2018-04,1.342
2018-05,1.3767
2018-06,1.3259
2018-07,1.3108
2018-08,1.3046
2018-09,1.2689
2018-10,1.2729
2018-11,1.2886
2018-12,1.272
2019-01,1.2551
2019-02,1.3006
2019-03,1.3059
2019-04,1.3157
2019-05,1.3166
2019-06,1.2775
2019-07,1.2574
2019-08,1.2315
2019-09,1.19
2019-10,1.2426
2019-11,1.2758
2019-12,1.2815
2020-01,1.2826
2020-02,1.2748
2020-03,1.2737
2020-04,1.1447
2020-05,1.1974
2020-06,1.183
2020-07,1.1944
2020-08,1.1829
2020-09,1.1998
2020-10,1.1788
2020-11,1.1892
2020-12,1.2098
2021-01,1.1946
2021-02,1.2142
2021-03,1.2603
2021-04,1.2834
2021-05,1.2781
2021-06,1.2740
2021-07,1.2808
2021-08,1.2566
2021-09,1.2626
2021-10,1.2593
2021-11,1.2706
2021-12,1.2516
2022-01,1.2241
2022-02,1.2488
2022-03,1.2531
2022-04,1.2316
2022-05,1.2348
2022-06,1.2381
2022-07,1.1806
2022-08,1.1641
2022-09,1.1412
2022-10,1.0935
2022-11,1.1302
2022-12,1.1371
2023-01,1.1459
2023-02,1.1315
2023-03,1.1109
2023-04,1.1297
2023-05,1.1186
2023-06,1.1186
2023-07,1.1396
2023-08,1.1077
2023-09,1.1128
2023-10,1.1098
2023-11,1.0956
2023-12,1.1081
2024-01,1.0928
2024-02,1.0964
2024-03,1.1104
2024-04,1.1305
2024-05,1.1349
2024-06,1.1629
2024-07,1.1258
2024-08,1.1553
2024-09,1.1145
2024-10,1.1148
2024-11,1.1240
2024-12,1.1214
2025-01,1.1359
2025-02,1.1179
2025-03,1.1377
2025-04,1.1406
2025-05,1.0829
2025-06,1.1073
2025-07,1.0996
2025-08,1.0742
2025-09,1.0879
2025-10,1.0737
2025-11,1.0612
2025-12,1.0523
2026-01,1.0625
