month,rate
2015-02,950.22
2015-03,954.02
2015-04,943.32
2015-05,917.22
2015-06,942.6907
2015-07,981.4184
2015-08,1008.63
2015-09,1068.42
2015-10,1054.05
2015-11,1040.18
2015-12,1069.56
2016-01,1079.1
2016-02,1046.59
2016-03,1024.66
2016-04,979.88
2016-05,946.03
2016-06,1010.02
2016-07,991.7
2016-08,858.04
2016-09,889.68
2016-10,863.8
2016-11,819.87
2016-12,844.36
2017-01,830.99
2017-02,813.88
2017-03,796.35
2017-04,827.11
2017-05,831.72
2017-06,875.05
2017-07,841.3584
2017-08,853.34
2017-09,821.25
2017-10,842.7
2017-11,823.27
2017-12,842.8355
2018-01,832.28
2018-02,857.21
2018-03,831.13
2018-04,852.46
2018-05,845.3
2018-06,834.64
2018-07,843.66
2018-08,856.68
2018-09,851.27
2018-10,897.56
2018-11,889.29
2018-12,885.34
2019-01,869.65
2019-02,878.43
2019-03,853.02
2019-04,878.09
2019-05,860.54
2019-06,882.96
2019-07,878.3
2019-08,866.017
2019-09,861.87
2019-10,894.7
2019-11,936.06
2019-12,1025.97
2020-01,982.17
2020-02,1014.63
2020-03,1034.95
2020-04,1018.62
2020-05,1056.29
2020-06,987.57
2020-07,1000.52
2020-08,976.45
2020-09,1033.28
2020-10,997.44
2020-11,1032.95
2020-12,1007.66
2021-01,990.8300
2021-02,988.4200
2021-03,995.5900
2021-04,999.2700
2021-05,971.6300
2021-06,1013.4800
2021-07,1027.0200
2021-08,1032.5800
2021-09,1081.5300
2021-10,1069.9600
2021-11,1118.6700
2021-12,1108.0100
2022-01,1122.3884
2022-02,1105.6520
2022-03,1088.3249
2022-04,1050.4830
2022-05,1063.0456
2022-06,1054.8757
2022-07,1091.4440
2022-08,1103.8533
2022-09,1080.9150
2022-10,1071.0482
2022-11,1101.4941
2022-12,1106.8279
2023-01,1076.6197
2023-02,1013.9163
2023-03,956.4626
2023-04,998.7280
2023-05,990.7746
2023-06,1002.5968
2023-07,1023.9745
2023-08,1047.0871
2023-09,1098.1920
2023-10,1095.5090
2023-11,1132.8204
2023-12,1089.9829
2024-01,1093.5465
2024-02,1179.6738
2024-03,1215.9271
2024-04,1234.0651
2024-05,1223.5236
2024-06,1129.1689
2024-07,1192.7476
2024-08,1187.5736
2024-09,1204.7130
2024-10,1230.4787
2024-11,1235.8304
2024-12,1232.2650
2025-01,1251.4514
2025-02,1236.3033
2025-03,1196.5341
2025-04,1189.8388
2025-05,1287.5533
2025-06,1264.1527
2025-07,1269.2284
2025-08,1285.4955
2025-09,1297.9842
2025-10,1295.1837
2025-11,1269.6355
2025-12,1221.3103
2026-01,1222.0336
