month,rate
2015-02,9.4108
2015-03,9.6342
2015-04,9.2704
2015-05,9.2706
2015-06,9.8007
2015-07,9.6654
2015-08,9.7083
2015-09,9.9769
2015-10,9.9228
2015-11,9.8123
2015-12,9.6831
2016-01,9.8214
2016-02,9.4253
2016-03,9.4975
2016-04,9.3927
2016-05,9.1893
2016-06,9.5547
2016-07,9.6524
2016-08,8.8003
2016-09,8.8129
2016-10,8.6466
2016-11,8.2846
2016-12,8.5463
2017-01,8.6015
2017-02,8.4354
2017-03,8.552
2017-04,8.5914
2017-05,8.8225
2017-06,8.9229
2017-07,8.6487
2017-08,8.8102
2017-09,8.526
2017-10,8.9176
2017-11,8.7192
2017-12,8.7889
2018-01,8.8212
2018-02,9.0852
2018-03,8.8682
2018-04,8.9049
2018-05,8.9469
2018-06,8.5191
2018-07,8.5255
2018-08,8.7618
2018-09,8.8375
2018-10,9.0131
2018-11,8.9611
2018-12,8.8669
2019-01,8.718
2019-02,8.8658
2019-03,8.7848
2019-04,8.8352
2019-05,8.7255
2019-06,8.7392
2019-07,8.7207
2019-08,8.5901
2019-09,8.568
2019-10,8.8482
2019-11,9.1131
2019-12,9.0861
2020-01,9.1492
2020-02,9.0685
2020-03,9.0578
2020-04,8.265
2020-05,8.7325
2020-06,8.7199
2020-07,8.8847
2020-08,8.9158
2020-09,9.1088
2020-10,8.6686
2020-11,8.7405
2020-12,8.7213
2021-01,8.8229
2021-02,8.8099
2021-03,9.0885
2021-04,8.9505
2021-05,9.0475
2021-06,9.1069
2021-07,9.0525
2021-08,8.8535
2021-09,8.9150
2021-10,8.8266
2021-11,8.8319
2021-12,8.5932
2022-01,8.4293
2022-02,8.6574
2022-03,8.6024
2022-04,8.4217
2022-05,8.3704
2022-06,8.3774
2022-07,8.2677
2022-08,8.1015
2022-09,8.1197
2022-10,7.9916
2022-11,8.1330
2022-12,8.6323
2023-01,8.6103
2023-02,8.3785
2023-03,8.2164
2023-04,8.4280
2023-05,8.5874
2023-06,8.7064
2023-07,9.1587
2023-08,9.3022
2023-09,9.2106
2023-10,9.0218
2023-11,8.9114
2023-12,8.9466
2024-01,9.0215
2024-02,9.0912
2024-03,9.0701
2024-04,9.1364
2024-05,9.0175
2024-06,9.2020
2024-07,9.2393
2024-08,9.4604
2024-09,9.2979
2024-10,9.3578
2024-11,9.2337
2024-12,9.1758
2025-01,9.2567
2025-02,8.9756
2025-03,9.1691
2025-04,9.3845
2025-05,9.6950
2025-06,9.6621
2025-07,9.6694
2025-08,9.6971
2025-09,9.6692
2025-10,9.6954
2025-11,9.4961
2025-12,9.3331
2026-01,9.3891
