month,rate
2015-02,3584.75
2015-03,3666.5
2015-04,3936.2
2015-05,3736.72
2015-06,3815.4789
2015-07,3947.8442
2015-08,4297.15
2015-09,4652.38
2015-10,4648.18
2015-11,4445.35
2015-12,4681.54
2016-01,5022.29
2016-02,4711.24
2016-03,4929.09
2016-04,4468.32
2016-05,4255.14
2016-06,4430.04
2016-07,4372.47
2016-08,3859.83
2016-09,3904.94
2016-10,3753.35
2016-11,3576.17
2016-12,3965.18
2017-01,3711.36
2017-02,3623.09
2017-03,3582.75
2017-04,3656.81
2017-05,3647.46
2017-06,3760.1
2017-07,3866.9476
2017-08,3926.02
2017-09,3824.54
2017-10,3927.74
2017-11,3869.55
2017-12,3964.78
2018-01,3964.53
2018-02,4002.43
2018-03,4016.74
2018-04,4006.49
2018-05,3842.53
2018-06,3821.31
2018-07,3850.13
2018-08,3765.96
2018-09,3825.72
2018-10,3973.85
2018-11,4069.13
2018-12,4091.47
2019-01,4066.94
2019-02,4113.85
2019-03,4069.3
2019-04,4074.25
2019-05,4121.51
2019-06,4227
2019-07,4106.93
2019-08,3986.42
2019-09,4115.47
2019-10,4221.1
2019-11,4388.79
2019-12,4439.91
2020-01,4341.16
2020-02,4381.54
2020-03,4414.42
2020-04,4874.18
2020-05,4996.79
2020-06,4663.56
2020-07,4707.34
2020-08,4612.29
2020-09,4964.29
2020-10,4944.54
2020-11,4983.61
2020-12,4854.19
2021-01,4612.4700
2021-02,4730.0600
2021-03,5055.9200
2021-04,4994.4700
2021-05,5075.2900
2021-06,5222.4900
2021-07,5275.6100
2021-08,5277.3200
2021-09,5313.3800
2021-10,5230.3100
2021-11,5214.6800
2021-12,5261.2800
2022-01,5254.4659
2022-02,5450.2417
2022-03,5386.4683
2022-04,4967.7050
2022-05,4898.6158
2022-06,5038.2326
2022-07,4962.9934
2022-08,5184.6863
2022-09,5158.2127
2022-10,4987.6506
2022-11,5415.8507
2022-12,5885.5381
2023-01,5932.9963
2023-02,5809.6233
2023-03,5891.8041
2023-04,5844.4944
2023-05,5625.6607
2023-06,5509.1653
2023-07,5306.9402
2023-08,5123.3708
2023-09,5193.8180
2023-10,4857.9660
2023-11,5119.1118
2023-12,5103.4100
2024-01,4977.1563
2024-02,5010.8119
2024-03,4949.0201
2024-04,4918.2981
2024-05,4888.1158
2024-06,4848.8083
2024-07,5281.1173
2024-08,5180.9387
2024-09,5225.0133
2024-10,5554.4780
2024-11,5525.1629
2024-12,5564.7469
2025-01,5591.2116
2025-02,5325.5530
2025-03,5150.8182
2025-04,5344.0539
2025-05,5773.8371
2025-06,5592.2966
2025-07,5515.1331
2025-08,5497.4116
2025-09,5433.0398
2025-10,5285.8726
2025-11,5177.0919
2025-12,4883.0857
2026-01,5119.4286
