month,rate
2015-02,812.92
2015-03,830.75
2015-04,787.03
2015-05,793.37
2015-06,839.7423
2015-07,832.7885
2015-08,833.78
2015-09,832.46
2015-10,830
2015-11,825.23
2015-12,809.58
2016-01,808.29
2016-02,763.72
2016-03,773.79
2016-04,774.85
2016-05,757.69
2016-06,783.35
2016-07,799.33
2016-08,720.03
2016-09,728.8
2016-10,713.11
2016-11,678.96
2016-12,683.8
2017-01,682.31
2017-02,678.46
2017-03,696.03
2017-04,695.78
2017-05,718.98
2017-06,762.24
2017-07,723.1355
2017-08,746.19
2017-09,735.2
2017-10,781.55
2017-11,750.59
2017-12,751.27
2018-01,758.97
2018-02,809.46
2018-03,796.17
2018-04,794.59
2018-05,803.22
2018-06,752.34
2018-07,747.54
2018-08,740.35
2018-09,733.14
2018-10,760.14
2018-11,765.89
2018-12,766.92
2019-01,756.47
2019-02,787.08
2019-03,795.84
2019-04,786.34
2019-05,777.52
2019-06,744.07
2019-07,737.82
2019-08,716.47
2019-09,685.04
2019-10,721.23
2019-11,749.53
2019-12,739.99
2020-01,739.61
2020-02,744.91
2020-03,737.62
2020-04,665.76
2020-05,700.28
2020-06,700.34
2020-07,720.49
2020-08,739.66
2020-09,784.01
2020-10,765.82
2020-11,792.47
2020-12,807.97
2021-01,816.8000
2021-02,830.8500
2021-03,857.4500
2021-04,838.6200
2021-05,854.2500
2021-06,871.0600
2021-07,862.7900
2021-08,846.8400
2021-09,852.3600
2021-10,850.8200
2021-11,869.4500
2021-12,859.4700
2022-01,844.7978
2022-02,861.9997
2022-03,868.5483
2022-04,862.5560
2022-05,853.3657
2022-06,834.0761
2022-07,852.8761
2022-08,810.3782
2022-09,759.2116
2022-10,716.8046
2022-11,698.7358
2022-12,733.0812
2023-01,742.6309
2023-02,706.4947
2023-03,681.8613
2023-04,662.7344
2023-05,666.8804
2023-06,668.0042
2023-07,690.8597
2023-08,694.7205
2023-09,682.3371
2023-10,659.0244
2023-11,647.6198
2023-12,665.9352
2024-01,662.2434
2024-02,658.9979
2024-03,648.6513
2024-04,639.1840
2024-05,624.2452
2024-06,651.5144
2024-07,660.3429
2024-08,681.2826
2024-09,677.9717
2024-10,683.8892
2024-11,666.9398
2024-12,644.2140
2025-01,642.6372
2025-02,620.9587
2025-03,636.8279
2025-04,646.9029
2025-05,667.2625
2025-06,679.7860
2025-07,678.8010
2025-08,683.8438
2025-09,680.9008
2025-10,687.4284
2025-11,669.0129
2025-12,656.6043
2026-01,664.8241
