month,rate
2015-02,1.514
2015-03,1.542
2015-04,1.4752
2015-05,1.4958
2015-06,1.5792
2015-07,1.5569
2015-08,1.5635
2015-09,1.5609
2015-10,1.5591
2015-11,1.5445
2015-12,1.5192
2016-01,1.5214
2016-02,1.4309
2016-03,1.4457
2016-04,1.4511
2016-05,1.4178
2016-06,1.4619
2016-07,1.4672
2016-08,1.3178
2016-09,1.325
2016-10,1.2961
2016-11,1.2293
2016-12,1.2399
2017-01,1.2374
2017-02,1.2343
2017-03,1.2453
2017-04,1.2475
2017-05,1.281
2017-06,1.2949
2017-07,1.2664
2017-08,1.3042
2017-09,1.2795
2017-10,1.3564
2017-11,1.317
2017-12,1.3284
2018-01,1.3406
2018-02,1.4223
2018-03,1.3979
2018-04,1.4065
2018-05,1.4234
2018-06,1.3342
2018-07,1.3176
2018-08,1.3049
2018-09,1.2909
2018-10,1.3153
2018-11,1.2912
2018-12,1.2778
2019-01,1.2643
2019-02,1.3062
2019-03,1.3064
2019-04,1.3188
2019-05,1.3049
2019-06,1.2659
2019-07,1.2632
2019-08,1.25
2019-09,1.213
2019-10,1.2483
2019-11,1.2882
2019-12,1.2912
2020-01,1.3071
2020-02,1.314
2020-03,1.2952
2020-04,1.1763
2020-05,1.2327
2020-06,1.227
2020-07,1.254
2020-08,1.2732
2020-09,1.3184
2020-10,1.2763
2020-11,1.3163
2020-12,1.3303
2021-01,1.3497
2021-02,1.3632
2021-03,1.4051
2021-04,1.3721
2021-05,1.3930
2021-06,1.4145
2021-07,1.3969
2021-08,1.3674
2021-09,1.3757
2021-10,1.3646
2021-11,1.3815
2021-12,1.3465
2022-01,1.3215
2022-02,1.3629
2022-03,1.3579
2022-04,1.3212
2022-05,1.3048
2022-06,1.2412
2022-07,1.2309
2022-08,1.1996
2022-09,1.1821
2022-10,29.1600
2022-11,26.9176
2022-12,28.7600
2023-01,29.6903
2023-02,29.5922
2023-03,28.9695
2023-04,29.4421
2023-05,29.8136
2023-06,29.7053
2023-07,30.5632
2023-08,30.9856
2023-09,30.2911
2023-10,29.6570
2023-11,29.2363
2023-12,30.0885
2024-01,30.3269
2024-02,30.4712
2024-03,30.2386
2024-04,30.4918
2024-05,29.8506
2024-06,30.4804
2024-07,30.4969
2024-08,31.2531
2024-09,31.1820
2024-10,31.7101
2024-11,31.0468
2024-12,30.3987
2025-01,30.4547
2025-02,29.6429
2025-03,30.1600
2025-04,31.1352
2025-05,31.8008
2025-06,32.1829
2025-07,32.2556
2025-08,32.4511
2025-09,32.3022
2025-10,32.6915
2025-11,31.9944
2025-12,31.4776
2026-01,32.0041
