month,rate
2015-02,141.3
2015-03,147.4
2015-04,179.04
2015-05,152.94
2015-06,151.2089
2015-07,152.8102
2015-08,158.88
2015-09,155.15
2015-10,151.23
2015-11,149.24
2015-12,155.86
2016-01,151.61
2016-02,144.64
2016-03,141.46
2016-04,141.45
2016-05,138.58
2016-06,142.83
2016-07,143.65
2016-08,132.24
2016-09,129.92
2016-10,127.6
2016-11,123.39
2016-12,130.25
2017-01,131.06
2017-02,127.81
2017-03,130
2017-04,127.8
2017-05,132.39
2017-06,128.13
2017-07,125.8533
2017-08,124.67
2017-09,119.76
2017-10,125.13
2017-11,123.66
2017-12,124.99
2018-01,125.17
2018-02,127.22
2018-03,125.45
2018-04,126.76
2018-05,127.25
2018-06,126.07
2018-07,125.83
2018-08,123.97
2018-09,123.55
2018-10,124.36
2018-11,124.6
2018-12,124.09
2019-01,122.27
2019-02,127.19
2019-03,127.53
2019-04,128.16
2019-05,127.89
2019-06,125.63
2019-07,124.64
2019-08,124.06
2019-09,120.47
2019-10,124.63
2019-11,128.17
2019-12,129.05
2020-01,130.12
2020-02,130.94
2020-03,132.77
2020-04,302.96
2020-05,126.1
2020-06,124.23
2020-07,123.29
2020-08,121.66
2020-09,121.73
2020-10,120.35
2020-11,122.67
2020-12,124.11
2021-01,122.4100
2021-02,124.5900
2021-03,128.1800
2021-04,128.4100
2021-05,128.4300
2021-06,128.0800
2021-07,129.3200
2021-08,128.1900
2021-09,129.5100
2021-10,128.8100
2021-11,131.4400
2021-12,131.4800
2022-01,130.0070
2022-02,133.0190
2022-03,132.2597
2022-04,132.9453
2022-05,132.9802
2022-06,130.1760
2022-07,128.9989
2022-08,129.5797
2022-09,131.1543
2022-10,120.4533
2022-11,127.3672
2022-12,128.9361
2023-01,129.3328
2023-02,126.2655
2023-03,124.4014
2023-04,124.9089
2023-05,125.5848
2023-06,126.6462
2023-07,128.7209
2023-08,127.4468
2023-09,128.8268
2023-10,127.4191
2023-11,127.2641
2023-12,126.8054
2024-01,127.5481
2024-02,128.6277
2024-03,128.8160
2024-04,129.0936
2024-05,129.1671
2024-06,129.4417
2024-07,130.6067
2024-08,131.4215
2024-09,129.2834
2024-10,130.9597
2024-11,132.6645
2024-12,132.2766
2025-01,133.4960
2025-02,130.4735
2025-03,133.1244
2025-04,131.1864
2025-05,128.7978
2025-06,130.6267
2025-07,128.8929
2025-08,127.3279
2025-09,127.6178
2025-10,127.1142
2025-11,126.8756
2025-12,124.9187
2026-01,125.5128
