month,rate
2015-02,36.5
2015-03,37.3
2015-04,38.2
2015-05,38.11
2015-06,37.8079
2015-07,37.7189
2015-08,38.95
2015-09,37.95
2015-10,37.09
2015-11,36.76
2015-12,38.26
2016-01,37.38
2016-02,35.3
2016-03,34.77
2016-04,34.74
2016-05,33.91
2016-06,35.02
2016-07,35.24
2016-08,32.34
2016-09,31.82
2016-10,31.43
2016-11,30.28
2016-12,31.81
2017-01,32.04
2017-02,31.18
2017-03,31.8223
2017-04,31.2
2017-05,32.08
2017-06,30.62
2017-07,29.9183
2017-08,29.52
2017-09,28.29
2017-10,29.5
2017-11,28.76
2017-12,28.7
2018-01,28.94
2018-02,29.14
2018-03,28.74
2018-04,29.12
2018-05,29.1
2018-06,29.46
2018-07,29.41
2018-08,28.97
2018-09,28.62
2018-10,28.72
2018-11,29.28
2018-12,29.16
2019-01,28.5
2019-02,29.47
2019-03,29.53
2019-04,29.78
2019-05,29.63
2019-06,29.28
2019-07,28.88
2019-08,28.62
2019-09,28.21
2019-10,29.23
2019-11,29.69
2019-12,29.79
2020-01,29.93
2020-02,29.82
2020-03,29.95
2020-04,30.05
2020-05,31.35
2020-06,30.46
2020-07,29.71
2020-08,28.99
2020-09,28.9
2020-10,29.43
2020-11,30.09
2020-12,29.52
2021-01,29.0200
2021-02,29.3700
2021-03,29.9800
2021-04,30.4400
2021-05,29.9400
2021-06,29.4900
2021-07,29.6800
2021-08,29.8200
2021-09,29.8700
2021-10,29.5000
2021-11,30.3065
2021-12,30.0200
2022-01,29.6469
2022-02,29.1621
2022-03,29.1140
2022-04,29.5787
2022-05,29.3078
2022-06,29.1134
2022-07,28.7232
2022-08,28.7463
2022-09,29.1846
2022-10,28.2721
2022-11,28.2035
2022-12,28.3271
2023-01,28.2638
2023-02,27.4011
2023-03,26.5667
2023-04,26.8593
2023-05,26.5998
2023-06,27.2030
2023-07,27.5845
2023-08,27.5560
2023-09,28.1974
2023-10,28.1804
2023-11,28.4761
2023-12,28.1683
2024-01,28.3698
2024-02,28.8786
2024-03,29.6576
2024-04,29.6362
2024-05,29.5549
2024-06,29.0516
2024-07,29.5081
2024-08,30.1374
2024-09,29.4256
2024-10,29.7637
2024-11,30.3445
2024-12,30.3566
2025-01,30.4244
2025-02,29.7569
2025-03,30.3302
2025-04,29.7707
2025-05,29.2074
2025-06,29.4563
2025-07,29.0004
2025-08,28.4239
2025-09,28.3475
2025-10,28.0422
2025-11,27.9675
2025-12,27.3744
2026-01,27.7166
