month,rate
2015-02,275.58
2015-03,280.46
2015-04,262.17
2015-05,265.83
2015-06,280.6563
2015-07,276.6931
2015-08,277.85
2015-09,277.4
2015-10,277.09
2015-11,274.49
2015-12,269.98
2016-01,270.39
2016-02,254.29
2016-03,256.92
2016-04,257.89
2016-05,251.96
2016-06,259.81
2016-07,260.75
2016-08,234.19
2016-09,235.48
2016-10,230.34
2016-11,218.47
2016-12,220.35
2017-01,219.9
2017-02,219.35
2017-03,221.3
2017-04,221.7
2017-05,227.66
2017-06,230.12
2017-07,225.0731
2017-08,231.77
2017-09,227.39
2017-10,241.06
2017-11,234.05
2017-12,236.07
2018-01,238.25
2018-02,252.76
2018-03,248.42
2018-04,249.96
2018-05,252.97
2018-06,237.1
2018-07,234.16
2018-08,231.9
2018-09,229.41
2018-10,233.75
2018-11,229.47
2018-12,227.08
2019-01,224.69
2019-02,232.13
2019-03,232.17
2019-04,234.38
2019-05,231.9
2019-06,224.97
2019-07,224.48
2019-08,222.14
2019-09,215.58
2019-10,221.85
2019-11,228.93
2019-12,229.47
2020-01,232.29
2020-02,233.53
2020-03,230.17
2020-04,209.06
2020-05,219.07
2020-06,218.06
2020-07,222.86
2020-08,226.26
2020-09,234.3
2020-10,226.82
2020-11,233.92
2020-12,236.42
2021-01,239.8600
2021-02,242.2600
2021-03,249.7100
2021-04,243.8400
2021-05,247.5500
2021-06,251.3900
2021-07,248.2500
2021-08,243.0200
2021-09,244.4900
2021-10,242.5000
2021-11,245.5200
2021-12,239.2900
2022-01,234.8650
2022-02,242.2144
2022-03,241.3264
2022-04,234.8029
2022-05,232.2456
2022-06,220.9920
2022-07,219.7782
2022-08,213.3397
2022-09,212.2466
2022-10,202.2663
2022-11,200.4098
2022-12,214.8292
2023-01,220.2069
2023-02,220.4700
2023-03,214.2368
2023-04,217.7949
2023-05,221.7381
2023-06,219.8813
2023-07,226.6687
2023-08,229.4961
2023-09,224.6716
2023-10,219.9235
2023-11,216.7279
2023-12,223.0209
2024-01,224.9965
2024-02,226.1123
2024-03,224.4970
2024-04,225.6014
2024-05,221.7915
2024-06,226.1086
2024-07,226.2763
2024-08,231.8296
2024-09,231.2953
2024-10,235.0508
2024-11,230.7616
2024-12,225.3178
2025-01,226.1341
2025-02,219.7691
2025-03,223.9264
2025-04,230.9767
2025-05,236.2620
2025-06,238.7815
2025-07,239.3919
2025-08,240.8218
2025-09,239.9201
2025-10,242.9588
2025-11,237.3230
2025-12,234.1972
2026-01,237.2656
