month,rate
2015-02,9.664
2015-03,10.04
2015-04,10.2848
2015-05,10.46
2015-06,10.45
2015-07,10.4301
2015-08,10.71
2015-09,10.56
2015-10,10.1948
2015-11,10.15
2015-12,10.65
2016-01,10.22
2016-02,9.68
2016-03,9.59
2016-04,9.41
2016-05,9.4583
2016-06,9.6388
2016-07,9.6798
2016-08,8.9046
2016-09,8.769
2016-10,8.6729
2016-11,8.3409
2016-12,8.7579
2017-01,8.8187
2017-02,8.5831
2017-03,8.7552
2017-04,8.5903
2017-05,8.8945
2017-06,8.6169
2017-07,8.4546
2017-08,8.4196
2017-09,8.0552
2017-10,8.4144
2017-11,8.3243
2017-12,8.3874
2018-01,8.399
2018-02,8.5527
2018-03,8.4505
2018-04,8.5401
2018-05,8.5659
2018-06,8.4919
2018-07,8.4819
2018-08,8.355
2018-09,8.3008
2018-10,8.4078
2018-11,8.4535
2018-12,8.3679
2019-01,8.2659
2019-02,8.5708
2019-03,8.5891
2019-04,8.67
2019-05,8.6188
2019-06,8.4763
2019-07,8.4099
2019-08,8.3741
2019-09,8.153
2019-10,8.4291
2019-11,8.6574
2019-12,8.7198
2020-01,8.7784
2020-02,8.8662
2020-03,8.9625
2020-04,8.1156
2020-05,8.4906
2020-06,8.3231
2020-07,8.3314
2020-08,8.175
2020-09,8.2483
2020-10,8.1389
2020-11,8.249
2020-12,8.3464
2021-01,8.2413
2021-02,8.3763
2021-03,8.6085
2021-04,8.6242
2021-05,8.6114
2021-06,8.6107
2021-07,8.6942
2021-08,8.6287
2021-09,8.7355
2021-10,8.6479
2021-11,8.8252
2021-12,8.8543
2022-01,8.7341
2022-02,8.9408
2022-03,8.8897
2022-04,8.9337
2022-05,8.9338
2022-06,8.8078
2022-07,8.6402
2022-08,8.7440
2022-09,8.7983
2022-10,8.5303
2022-11,8.5549
2022-12,8.6488
2023-01,8.6672
2023-02,8.5112
2023-03,8.3774
2023-04,8.4404
2023-05,8.4662
2023-06,8.5584
2023-07,8.6568
2023-08,8.5799
2023-09,8.7075
2023-10,8.6121
2023-11,8.6110
2023-12,8.5727
2024-01,8.6247
2024-02,8.7000
2024-03,8.7079
2024-04,8.7304
2024-05,8.7397
2024-06,8.7589
2024-07,8.8348
2024-08,8.8906
2024-09,8.7484
2024-10,8.8615
2024-11,8.9738
2024-12,8.9473
2025-01,9.0323
2025-02,8.8286
2025-03,9.0048
2025-04,8.8741
2025-05,8.7215
2025-06,8.8363
2025-07,8.7184
2025-08,8.6192
2025-09,8.6395
2025-10,8.6045
2025-11,8.5945
2025-12,8.4616
2026-01,8.5050
