month,rate
2015-02,67.53
2015-03,69.23
2015-04,65.95
2015-05,66.96
2015-06,70.8116
2015-07,69.8895
2015-08,69.98
2015-09,70.33
2015-10,70.42
2015-11,69.92
2015-12,68.71
2016-01,69.3
2016-02,64.84
2016-03,66
2016-04,66.44
2016-05,64.99
2016-06,67.11
2016-07,67.38
2016-08,60.55
2016-09,60.96
2016-10,59.82
2016-11,56.78
2016-12,57.55
2017-01,57.37
2017-02,57.62
2017-03,58.22
2017-04,59
2017-05,60.63
2017-06,61.06
2017-07,59.8777
2017-08,61.61
2017-09,60.5
2017-10,64.73
2017-11,62.99
2017-12,63.89
2018-01,64.85
2018-02,69.12
2018-03,68.71
2018-04,69.67
2018-05,70.52
2018-06,66.16
2018-07,65.37
2018-08,64.39
2018-09,63.83
2018-10,65.19
2018-11,64.22
2018-12,63.72
2019-01,63.77
2019-02,65.47
2019-03,66.11
2019-04,66.74
2019-05,66.05
2019-06,64.19
2019-07,64.3
2019-08,63.8351
2019-09,61.77
2019-10,64.6
2019-11,68.13
2019-12,68.4
2020-01,69.38
2020-02,70.24
2020-03,69.35
2020-04,63.48
2020-05,67.12
2020-06,68.09
2020-07,73.23
2020-08,74.27
2020-09,77
2020-10,74.66
2020-11,76.93
2020-12,77.05
2021-01,78.5100
2021-02,79.4000
2021-03,81.4200
2021-04,78.3400
2021-05,79.2400
2021-06,80.4500
2021-07,79.6500
2021-08,77.9700
2021-09,78.4900
2021-10,76.9100
2021-11,77.8800
2021-12,76.1600
2022-01,74.9052
2022-02,78.5848
2022-03,77.0745
2022-04,72.4808
2022-05,71.8918
2022-06,68.6163
2022-07,67.2690
2022-08,65.1887
2022-09,62.9470
2022-10,60.6232
2022-11,60.5620
2022-12,65.5518
2023-01,68.3200
2023-02,70.3248
2023-03,67.5116
2023-04,66.9773
2023-05,67.9648
2023-06,67.4168
2023-07,69.7079
2023-08,72.2156
2023-09,71.7689
2023-10,70.1768
2023-11,69.1344
2023-12,71.2733
2024-01,72.3413
2024-02,74.5176
2024-03,73.8621
2024-04,75.1500
2024-05,73.5812
2024-06,74.6538
2024-07,75.1616
2024-08,77.0118
2024-09,77.7377
2024-10,79.3043
2024-11,78.1418
2024-12,76.1865
2025-01,77.0859
2025-02,75.5922
2025-03,78.2910
2025-04,81.4919
2025-05,81.3684
2025-06,78.9969
2025-07,79.6985
2025-08,81.8727
2025-09,83.2907
2025-10,85.1261
2025-11,84.7088
2025-12,83.9620
2026-01,84.9443
