month,rate
2015-02,133.65
2015-03,145.05
2015-04,143.6
2015-05,146.8
2015-06,154.75
2015-07,153.248
2015-08,156.63
2015-09,164.13
2015-10,164.5
2015-11,163.03
2015-12,163.94
2016-01,162.49
2016-02,153.45
2016-03,152.77
2016-04,159.8
2016-05,154.31
2016-06,160.69
2016-07,161.16
2016-08,145.94
2016-09,144.51
2016-10,141.76
2016-11,135.66
2016-12,137.73
2017-01,137.51
2017-02,135.32
2017-03,137.19
2017-04,136.24
2017-05,140.6
2017-06,140.67
2017-07,137.8358
2017-08,142.11
2017-09,140.55
2017-10,151.06
2017-11,150.47
2017-12,152.51
2018-01,154.39
2018-02,161.66
2018-03,159.42
2018-04,160.9
2018-05,162.25
2018-06,155.36
2018-07,155.06
2018-08,153.91
2018-09,152.51
2018-10,155.25
2018-11,153.89
2018-12,151.54
2019-01,149.82
2019-02,154.92
2019-03,154.99
2019-04,156.52
2019-05,155.49
2019-06,151.68
2019-07,150.99
2019-08,149.64
2019-09,145.5
2019-10,149.85
2019-11,154.07
2019-12,154.86
2020-01,156.25
2020-02,157.24
2020-03,156.62
2020-04,143.26
2020-05,158.33
2020-06,157.39
2020-07,161.67
2020-08,162.54
2020-09,168.62
2020-10,165.1
2020-11,169.21
2020-12,170.86
2021-01,178.0100
2021-02,180.7600
2021-03,186.8900
2021-04,183.6800
2021-05,184.8300
2021-06,188.4300
2021-07,186.9800
2021-08,184.0400
2021-09,186.2600
2021-10,186.7300
2021-11,188.9400
2021-12,186.1000
2022-01,183.8930
2022-02,190.4456
2022-03,190.4051
2022-04,188.1978
2022-05,187.1461
2022-06,180.6829
2022-07,179.3711
2022-08,174.8481
2022-09,166.6919
2022-10,159.5980
2022-11,158.0572
2022-12,167.2850
2023-01,170.6642
2023-02,168.4464
2023-03,164.2435
2023-04,166.0455
2023-05,168.9204
2023-06,169.0431
2023-07,172.7057
2023-08,173.2581
2023-09,171.7650
2023-10,169.4710
2023-11,167.8015
2023-12,168.5792
2024-01,170.0899
2024-02,171.1492
2024-03,169.7528
2024-04,170.8161
2024-05,167.9394
2024-06,171.0410
2024-07,171.2929
2024-08,175.0589
2024-09,174.7926
2024-10,174.7970
2024-11,173.2641
2024-12,169.0893
2025-01,170.0711
2025-02,166.8709
2025-03,169.9846
2025-04,173.3375
2025-05,176.0155
2025-06,177.6539
2025-07,175.3105
2025-08,175.6348
2025-09,175.1267
2025-10,176.2988
2025-11,173.9954
2025-12,171.1817
2026-01,172.5507
