month,rate
2015-02,10.9
2015-03,11.76
2015-04,11.25
2015-05,11.37
2015-06,12.0168
2015-07,11.8814
2015-08,12.23
2015-09,12.21
2015-10,12.2
2015-11,12.25
2015-12,11.89
2016-01,11.91
2016-02,11.2
2016-03,11.31
2016-04,12.89
2016-05,12.58
2016-06,12.98
2016-07,13.02
2016-08,11.7
2016-09,11.75
2016-10,11.5
2016-11,10.91
2016-12,21.7
2017-01,23.54
2017-02,23.32
2017-03,20.54
2017-04,22.44
2017-05,23.26
2017-06,23.45
2017-07,22.9715
2017-08,23.39
2017-09,22.69
2017-10,23.92
2017-11,23.23
2017-12,23.5
2018-01,23.96
2018-02,25.16
2018-03,24.74
2018-04,24.79
2018-05,25.2
2018-06,23.89
2018-07,23.56
2018-08,23.35
2018-09,23.06
2018-10,23.55
2018-11,23.12
2018-12,22.94
2019-01,22.64
2019-02,23.35
2019-03,22.94
2019-04,22.78
2019-05,22.51
2019-06,21.44
2019-07,21.15
2019-08,20.7607
2019-09,20.13
2019-10,20.4
2019-11,20.85
2019-12,20.78
2020-01,20.98
2020-02,20.76
2020-03,20.2
2020-04,18.52
2020-05,19.41
2020-06,19.4
2020-07,20.29
2020-08,20.35
2020-09,21
2020-10,20.1
2020-11,20.66
2020-12,20.78
2021-01,21.1700
2021-02,21.4600
2021-03,22.0300
2021-04,21.6200
2021-05,21.8400
2021-06,22.1800
2021-07,21.8700
2021-08,21.4200
2021-09,21.5900
2021-10,21.4300
2021-11,21.6900
2021-12,21.1600
2022-01,20.7994
2022-02,21.4122
2022-03,21.3305
2022-04,24.2721
2022-05,24.1205
2022-06,22.6609
2022-07,23.0657
2022-08,22.7346
2022-09,22.6979
2022-10,22.0786
2022-11,22.1543
2022-12,29.6244
2023-01,30.6560
2023-02,36.7398
2023-03,36.7000
2023-04,37.7913
2023-05,38.4716
2023-06,38.2197
2023-07,39.3454
2023-08,39.8486
2023-09,39.0290
2023-10,38.2159
2023-11,37.6632
2023-12,38.7361
2024-01,39.1371
2024-02,39.2122
2024-03,39.0307
2024-04,59.5927
2024-05,60.4679
2024-06,59.5093
2024-07,60.7449
2024-08,62.8262
2024-09,63.6059
2024-10,64.1100
2024-11,63.1150
2024-12,62.9822
2025-01,64.6287
2025-02,62.1786
2025-03,63.6856
2025-04,65.7059
2025-05,67.8173
2025-06,66.8675
2025-07,67.9989
2025-08,66.4416
2025-09,65.4818
2025-10,65.7034
2025-11,63.3706
2025-12,62.2092
2026-01,63.4336
