month,rate
2015-02,22.86
2015-03,23.28
2015-04,22.12
2015-05,22.43
2015-06,23.6881
2015-07,23.3536
2015-08,23.45
2015-09,23.41
2015-10,23.38
2015-11,23.16
2015-12,22.78
2016-01,22.82
2016-02,21.46
2016-03,21.68
2016-04,21.76
2016-05,21.26
2016-06,21.92
2016-07,22
2016-08,19.76
2016-09,19.87
2016-10,19.44
2016-11,18.43
2016-12,18.59
2017-01,18.56
2017-02,18.51
2017-03,18.67
2017-04,18.71
2017-05,19.21
2017-06,19.42
2017-07,18.9967
2017-08,19.56
2017-09,19.19
2017-10,20.34
2017-11,19.75
2017-12,19.92
2018-01,20.1
2018-02,21.33
2018-03,20.96
2018-04,21.09
2018-05,21.35
2018-06,20.01
2018-07,19.76
2018-08,19.57
2018-09,19.36
2018-10,19.72
2018-11,19.36
2018-12,19.16
2019-01,18.96
2019-02,19.59
2019-03,19.59
2019-04,19.78
2019-05,19.57
2019-06,18.98
2019-07,18.94
2019-08,18.7493
2019-09,18.19
2019-10,18.72
2019-11,19.32
2019-12,19.36
2020-01,19.6
2020-02,19.71
2020-03,19.42
2020-04,17.64
2020-05,18.49
2020-06,18.4
2020-07,18.81
2020-08,19.09
2020-09,19.77
2020-10,19.14
2020-11,19.74
2020-12,19.95
2021-01,20.2400
2021-02,20.4400
2021-03,21.0700
2021-04,20.5800
2021-05,20.8900
2021-06,21.2100
2021-07,20.9500
2021-08,20.5100
2021-09,20.6300
2021-10,20.4600
2021-11,20.7200
2021-12,20.1900
2022-01,19.8232
2022-02,20.4435
2022-03,20.3685
2022-04,19.8179
2022-05,19.5713
2022-06,18.6187
2022-07,18.4636
2022-08,17.9947
2022-09,17.7315
2022-10,16.9972
2022-11,16.8885
2022-12,18.0982
2023-01,18.6090
2023-02,18.5881
2023-03,18.0031
2023-04,18.3466
2023-05,18.6751
2023-06,18.5483
2023-07,19.0898
2023-08,19.3296
2023-09,18.9460
2023-10,18.5501
2023-11,18.2813
2023-12,18.8040
2024-01,18.9767
2024-02,19.0357
2024-03,18.9217
2024-04,19.0397
2024-05,18.6862
2024-06,19.0636
2024-07,19.0979
2024-08,19.5500
2024-09,19.5486
2024-10,19.8165
2024-11,19.4285
2024-12,18.9931
2025-01,19.0603
2025-02,18.5348
2025-03,18.8779
2025-04,19.4670
2025-05,19.9062
2025-06,20.1183
2025-07,20.1770
2025-08,20.3112
2025-09,20.2098
2025-10,20.4712
2025-11,19.9915
2025-12,19.6883
2026-01,19.9928
