month,rate
2015-02,30.89
2015-03,31.55
2015-04,30.07
2015-05,30.62
2015-06,32.4456
2015-07,32.073
2015-08,32.39
2015-09,32.45
2015-10,32.58
2015-11,32.38
2015-12,31.96
2016-01,32.14
2016-02,30.36
2016-03,30.74
2016-04,30.97
2016-05,30.52
2016-06,31.65
2016-07,31.92
2016-08,29.05
2016-09,29.31
2016-10,28.72
2016-11,27.32
2016-12,27.85
2017-01,27.8
2017-02,27.88
2017-03,28.19
2017-04,28.46
2017-05,29.32
2017-06,29.86
2017-07,29.343
2017-08,30.35
2017-09,29.91
2017-10,31.83
2017-11,35.69
2017-12,36.22
2018-01,36.62
2018-02,38.9
2018-03,38.24
2018-04,38.49
2018-05,38.96
2018-06,36.53
2018-07,36.09
2018-08,35.82
2018-09,35.59
2018-10,36.42
2018-11,35.87
2018-12,35.6
2019-01,35.54
2019-02,36.95
2019-03,37.15
2019-04,37.54
2019-05,37.45
2019-06,36.52
2019-07,36.44
2019-08,36.06
2019-09,35.49
2019-10,36.65
2019-11,38.04
2019-12,38.84
2020-01,41.43
2020-02,42.08
2020-03,41.48
2020-04,37.67
2020-05,41.12
2020-06,41.86
2020-07,43.37
2020-08,45.02
2020-09,47.38
2020-10,46.96
2020-11,49.25
2020-12,50.57
2021-01,52.0700
2021-02,53.8700
2021-03,56.2000
2021-04,55.4400
2021-05,56.2900
2021-06,60.5700
2021-07,60.7400
2021-08,60.5500
2021-09,62.5000
2021-10,63.1500
2021-11,65.2600
2021-12,64.7500
2022-01,64.4569
2022-02,67.7640
2022-03,68.8419
2022-04,67.6279
2022-05,67.2079
2022-06,64.2327
2022-07,64.1258
2022-08,62.8008
2022-09,62.2411
2022-10,59.8382
2022-11,59.7118
2022-12,64.2668
2023-01,66.3102
2023-02,66.4363
2023-03,64.6651
2023-04,66.1822
2023-05,67.6514
2023-06,67.4862
2023-07,69.7310
2023-08,70.9165
2023-09,69.7254
2023-10,68.4233
2023-11,68.0009
2023-12,70.0489
2024-01,71.0320
2024-02,71.8670
2024-03,71.4589
2024-04,72.0808
2024-05,70.9009
2024-06,73.0501
2024-07,73.3086
2024-08,75.3352
2024-09,141.5917
2024-10,154.8467
2024-11,154.4144
2024-12,155.1374
2025-01,161.1543
2025-02,155.6893
2025-03,159.5771
2025-04,167.9902
2025-05,172.7852
2025-06,180.4233
2025-07,181.3219
2025-08,186.9109
2025-09,189.9316
2025-10,196.2956
2025-11,200.0084
2025-12,203.7889
2026-01,207.1892
