month,rate
2015-02,1.3008
2015-03,1.3481
2015-04,1.3798
2015-05,1.4025
2015-06,1.4011
2015-07,1.3986
2015-08,1.4354
2015-09,1.4154
2015-10,1.3665
2015-11,1.3616
2015-12,1.4286
2016-01,1.371
2016-02,1.2978
2016-03,1.286
2016-04,1.2626
2016-05,1.2708
2016-06,1.2961
2016-07,1.3017
2016-08,1.197
2016-09,1.1779
2016-10,1.1635
2016-11,1.1209
2016-12,1.1773
2017-01,1.186
2017-02,1.1542
2017-03,1.1777
2017-04,1.1549
2017-05,1.1956
2017-06,1.1578
2017-07,1.1365
2017-08,1.1322
2017-09,1.0829
2017-10,1.1307
2017-11,1.1183
2017-12,1.127
2018-01,1.1282
2018-02,1.1487
2018-03,1.1347
2018-04,1.1465
2018-05,1.1501
2018-06,1.1399
2018-07,1.138
2018-08,1.1208
2018-09,1.113
2018-10,1.1271
2018-11,1.133
2018-12,1.1215
2019-01,1.1069
2019-02,1.1479
2019-03,1.1511
2019-04,1.1618
2019-05,1.1545
2019-06,1.1349
2019-07,1.1263
2019-08,1.1217
2019-09,1.0935
2019-10,1.1288
2019-11,1.1589
2019-12,1.1668
2020-01,1.1748
2020-02,1.1864
2020-03,1.2
2020-04,1.0858
2020-05,1.1385
2020-06,1.1162
2020-07,1.1174
2020-08,1.0982
2020-09,1.1078
2020-10,1.0933
2020-11,1.1085
2020-12,1.1202
2021-01,1.1075
2021-02,1.1261
2021-03,1.1577
2021-04,1.1598
2021-05,1.1580
2021-06,1.1580
2021-07,1.1692
2021-08,1.1600
2021-09,1.1747
2021-10,1.1630
2021-11,1.1861
2021-12,1.1907
2022-01,1.1745
2022-02,1.2013
2022-03,1.1949
2022-04,1.2009
2022-05,1.2008
2022-06,1.1837
2022-07,1.1616
2022-08,1.1747
2022-09,1.1830
2022-10,1.1471
2022-11,1.1500
2022-12,1.1630
2023-01,1.1652
2023-02,1.1441
2023-03,1.1242
2023-04,1.1334
2023-05,1.1361
2023-06,1.1489
2023-07,1.1622
2023-08,1.1515
2023-09,1.1683
2023-10,1.1555
2023-11,1.1541
2023-12,1.1500
2024-01,1.1567
2024-02,1.1665
2024-03,1.1682
2024-04,1.1707
2024-05,1.1714
2024-06,1.1739
2024-07,1.1844
2024-08,1.1918
2024-09,1.1724
2024-10,1.1876
2024-11,1.2031
2024-12,1.1996
2025-01,1.2106
2025-02,1.1832
2025-03,1.2073
2025-04,1.1897
2025-05,1.1680
2025-06,1.1846
2025-07,1.1689
2025-08,1.1547
2025-09,1.1573
2025-10,1.1528
2025-11,1.1506
2025-12,1.1328
2026-01,1.1382
