month,rate
2015-02,2.9213
2015-03,3.166
2015-04,3.07
2015-05,3.0441
2015-06,3.1776
2015-07,3.2314
2015-08,3.3436
2015-09,3.3324
2015-10,3.3675
2015-11,3.2703
2015-12,3.2854
2016-01,3.244
2016-02,3.1147
2016-03,3.0964
2016-04,3.0219
2016-05,2.9445
2016-06,3.0856
2016-07,3.0491
2016-08,2.7431
2016-09,2.7153
2016-10,2.6652
2016-11,2.5345
2016-12,2.6051
2017-01,2.6347
2017-02,2.5637
2017-03,2.5655
2017-04,2.5858
2017-05,2.6507
2017-06,2.6871
2017-07,2.6011
2017-08,2.6456
2017-09,2.5966
2017-10,2.7206
2017-11,2.6918
2017-12,2.752
2018-01,2.7556
2018-02,2.8475
2018-03,2.8075
2018-04,2.8606
2018-05,2.871
2018-06,2.7548
2018-07,2.7461
2018-08,2.7317
2018-09,2.7092
2018-10,2.7891
2018-11,2.7784
2018-12,2.7041
2019-01,2.6938
2019-02,2.776
2019-03,2.7728
2019-04,2.8124
2019-05,2.7821
2019-06,2.7404
2019-07,2.728
2019-08,2.6838
2019-09,2.6386
2019-10,2.7137
2019-11,2.8117
2019-12,2.8208
2020-01,2.8388
2020-02,2.8538
2020-03,2.8401
2020-04,2.7121
2020-05,2.8027
2020-06,2.7496
2020-07,2.7264
2020-08,2.7196
2020-09,2.8072
2020-10,2.705
2020-11,2.8219
2020-12,2.7898
2021-01,2.7532
2021-02,2.7764
2021-03,2.8445
2021-04,2.8352
2021-05,2.8234
2021-06,2.8647
2021-07,2.8815
2021-08,2.8584
2021-09,2.8957
2021-10,2.8645
2021-11,2.8646
2021-12,2.8306
2022-01,2.8252
2022-02,2.8977
2022-03,2.9093
2022-04,2.7556
2022-05,2.7470
2022-06,2.7209
2022-07,2.6935
2022-08,2.6419
2022-09,2.6098
2022-10,2.5767
2022-11,2.6314
2022-12,2.7200
2023-01,2.7572
2023-02,2.7100
2023-03,2.6373
2023-04,2.7380
2023-05,2.7780
2023-06,2.7752
2023-07,2.8434
2023-08,2.8587
2023-09,2.8609
2023-10,2.7919
2023-11,2.7780
2023-12,2.8103
2024-01,2.7875
2024-02,2.8417
2024-03,2.8535
2024-04,2.8833
2024-05,2.8339
2024-06,2.8733
2024-07,2.8644
2024-08,2.9015
2024-09,2.8875
2024-10,2.9107
2024-11,2.9051
2024-12,2.8751
2025-01,2.9245
2025-02,2.8560
2025-03,2.8941
2025-04,2.9678
2025-05,3.0397
2025-06,3.0340
2025-07,3.0228
2025-08,3.0300
2025-09,3.0613
2025-10,3.0464
2025-11,3.0631
2025-12,2.9983
2026-01,3.0422
