month,rate
2015-02,2.9501
2015-03,3.1233
2015-04,3.2131
2015-05,3.3685
2015-06,3.7157
2015-07,3.4797
2015-08,3.5397
2015-09,3.615
2015-10,3.8199
2015-11,3.6528
2015-12,3.6384
2016-01,3.6439
2016-02,3.4699
2016-03,3.6142
2016-04,3.3159
2016-05,3.1758
2016-06,3.1432
2016-07,3.2352
2016-08,3.0902
2016-09,3.041
2016-10,3.0005
2016-11,2.895
2016-12,3.0687
2017-01,3.4833
2017-02,3.2863
2017-03,3.275
2017-04,3.0439
2017-05,3.0681
2017-06,3.1142
2017-07,3.0483
2017-08,3.1274
2017-09,3.0785
2017-10,3.3613
2017-11,3.2754
2017-12,3.6065
2018-01,3.4051
2018-02,3.5771
2018-03,3.4429
2018-04,3.4291
2018-05,3.459
2018-06,3.2753
2018-07,3.2413
2018-08,3.2009
2018-09,3.337
2018-10,3.4395
2018-11,3.4863
2018-12,3.3925
2019-01,3.363
2019-02,3.4693
2019-03,3.4711
2019-04,3.5345
2019-05,3.5141
2019-06,3.5167
2019-07,3.528
2019-08,3.6436
2019-09,3.5603
2019-10,3.7013
2019-11,3.8105
2019-12,3.8504
2020-01,3.7906
2020-02,3.7871
2020-03,3.672
2020-04,3.582
2020-05,3.9243
2020-06,3.9362
2020-07,3.8034
2020-08,3.8895
2020-09,4.0448
2020-10,4.1581
2020-11,4.2405
2020-12,4.3982
2021-01,4.4214
2021-02,4.4916
2021-03,4.6439
2021-04,4.5828
2021-05,4.8126
2021-06,4.7670
2021-07,4.3933
2021-08,4.2528
2021-09,4.2991
2021-10,4.2438
2021-11,4.3379
2021-12,4.2211
2022-01,4.0902
2022-02,4.1977
2022-03,4.0805
2022-04,4.2741
2022-05,3.9273
2022-06,3.6493
2022-07,3.5819
2022-08,3.3770
2022-09,3.3454
2022-10,3.2068
2022-11,3.1131
2022-12,3.2884
2023-01,3.3062
2023-02,3.2963
2023-03,3.1805
2023-04,3.1495
2023-05,3.1312
2023-06,3.1903
2023-07,3.3358
2023-08,3.3067
2023-09,3.3197
2023-10,3.3245
2023-11,3.2808
2023-12,3.3972
2024-01,3.3968
2024-02,3.3698
2024-03,3.3424
2024-04,3.4401
2024-05,3.3320
2024-06,3.4728
2024-07,3.5567
2024-08,3.5124
2024-09,3.5291
2024-10,3.5867
2024-11,3.5359
2024-12,3.4732
2025-01,3.5565
2025-02,3.5363
2025-03,3.5351
2025-04,3.6027
2025-05,3.6469
2025-06,3.6732
2025-07,3.6653
2025-08,3.6672
2025-09,3.6356
2025-10,3.7077
2025-11,3.6139
2025-12,3.5496
2026-01,3.5901
