month,rate
2015-02,4.8281
2015-03,5.25617
2015-04,5.3255
2015-05,5.7401
2015-06,6.2458
2015-07,6.757
2015-08,5.0812
2015-09,6.3997
2015-10,6.0806
2015-11,5.9388
2015-12,5.8032
2016-01,5.8119
2016-02,5.5269
2016-03,5.7611
2016-04,5.5797
2016-05,5.4229
2016-06,5.6175
2016-07,5.791
2016-08,5.2053
2016-09,5.2682
2016-10,5.1272
2016-11,4.8753
2016-12,5.0464
2017-01,5.228
2017-02,5.3118
2017-03,5.5414
2017-04,5.5264
2017-05,5.3164
2017-06,5.6652
2017-07,5.6009
2017-08,5.7513
2017-09,5.6809
2017-10,6.0158
2017-11,6.7685
2017-12,6.137
2018-01,6.0327
2018-02,6.464
2018-03,6.2435
2018-04,6.2097
2018-05,6.3165
2018-06,6.2058
2018-07,6.2245
2018-08,6.2668
2018-09,6.2544
2018-10,6.4055
2018-11,6.2623
2018-12,6.1845
2019-01,6.2077
2019-02,6.4461
2019-03,6.9076
2019-04,6.9639
2019-05,6.7007
2019-06,6.6586
2019-07,6.8716
2019-08,6.756
2019-09,6.6354
2019-10,6.8534
2019-11,7.0593
2019-12,7.1856
2020-01,7.4832
2020-02,7.4112
2020-03,6.908
2020-04,6.6581
2020-05,7.1127
2020-06,7.0859
2020-07,7.2606
2020-08,7.3716
2020-09,7.5873
2020-10,7.3978
2020-11,7.6606
2020-12,7.759
2021-01,7.9092
2021-02,7.9677
2021-03,8.0723
2021-04,7.8896
2021-05,8.0513
2021-06,8.1549
2021-07,8.1439
2021-08,8.0953
2021-09,8.3093
2021-10,8.2010
2021-11,8.3477
2021-12,8.2403
2022-01,8.1473
2022-02,8.5454
2022-03,8.8264
2022-04,10.0081
2022-05,9.8182
2022-06,9.5576
2022-07,9.8165
2022-08,9.7321
2022-09,11.7028
2022-10,11.4448
2022-11,14.1300
2022-12,17.4950
2023-01,12.6231
2023-02,14.8704
2023-03,14.8526
2023-04,15.1054
2023-05,14.8778
2023-06,13.6021
2023-07,14.3872
2023-08,14.6390
2023-09,14.2569
2023-10,14.2515
2023-11,14.3449
2023-12,14.9951
2024-01,15.2128
2024-02,15.2293
2024-03,15.7833
2024-04,16.5191
2024-05,16.7431
2024-06,18.4112
2024-07,19.1963
2024-08,20.0872
2024-09,20.3591
2024-10,20.7465
2024-11,20.8714
2024-12,20.1236
2025-01,18.6715
2025-02,18.5861
2025-03,19.5135
2025-04,20.1061
2025-05,20.5341
2025-06,16.0405
2025-07,13.8505
2025-08,14.1475
2025-09,14.7387
2025-10,16.7116
2025-11,14.3622
2025-12,14.4535
2026-01,15.3494
