month,rate
2015-02,66.02
2015-03,67.19
2015-04,63.58
2015-05,63.91
2015-06,67.7953
2015-07,67.1026
2015-08,61.64
2015-09,61.6
2015-10,60.72
2015-11,61.16
2015-12,59.39
2016-01,60.19
2016-02,56.66
2016-03,56.9
2016-04,57.11
2016-05,60.41
2016-06,62.61
2016-07,62.51
2016-08,56.45
2016-09,56.77
2016-10,55.51
2016-11,52.63
2016-12,53.19
2017-01,52.82
2017-02,54
2017-03,55.66
2017-04,55.76
2017-05,57.64
2017-06,59.7
2017-07,58.111
2017-08,59.99
2017-09,57.89
2017-10,63.82
2017-11,62.49
2017-12,62.96
2018-01,63.88
2018-02,68.09
2018-03,66.74
2018-04,67.16
2018-05,67.54
2018-06,62.99
2018-07,62.94
2018-08,62.83
2018-09,62.93
2018-10,65.1
2018-11,64.98
2018-12,63.26
2019-01,62.48
2019-02,64.69
2019-03,55.32
2019-04,65.49
2019-05,64.65
2019-06,63.23
2019-07,62.58
2019-08,62.49
2019-09,61.47
2019-10,63.41
2019-11,66.15
2019-12,66.36
2020-01,67.11
2020-02,67.34
2020-03,66.37
2020-04,60.28
2020-05,63.66
2020-06,63.52
2020-07,65.019
2020-08,66.5224
2020-09,68.5564
2020-10,66.04
2020-11,68.87
2020-12,68.77
2021-01,69.6700
2021-02,70.5500
2021-03,71.7300
2021-04,70.3200
2021-05,71.1700
2021-06,72.3500
2021-07,71.4500
2021-08,69.8700
2021-09,70.6000
2021-10,70.3400
2021-11,71.8300
2021-12,70.8900
2022-01,69.8437
2022-02,72.7107
2022-03,72.3762
2022-04,70.4858
2022-05,70.4565
2022-06,67.2447
2022-07,66.7459
2022-08,64.9308
2022-09,64.9566
2022-10,63.0878
2022-11,66.7657
2022-12,75.4093
2023-01,76.7933
2023-02,76.9545
2023-03,73.2726
2023-04,74.9765
2023-05,77.4393
2023-06,73.7171
2023-07,75.8193
2023-08,76.8676
2023-09,76.8047
2023-10,74.8736
2023-11,80.2389
2023-12,84.2308
2024-01,85.2504
2024-02,85.3789
2024-03,85.4233
2024-04,86.2725
2024-05,84.5909
2024-06,86.2470
2024-07,86.4126
2024-08,88.7076
2024-09,90.8446
2024-10,93.1100
2024-11,90.0190
2024-12,90.5036
2025-01,91.8012
2025-02,89.3111
2025-03,90.7412
2025-04,93.5314
2025-05,95.7406
2025-06,97.4053
2025-07,97.1303
2025-08,97.7436
2025-09,97.8511
2025-10,98.7314
2025-11,97.0588
2025-12,96.6410
2026-01,98.4620
