month,rate
2015-02,10722.95
2015-03,10989.68
2015-04,10727.72
2015-05,10919.31
2015-06,11750.8675
2015-07,11287.5863
2015-08,11460.1
2015-09,11608.34
2015-10,11827.62
2015-11,11570.19
2015-12,11781.06
2016-01,11672.53
2016-02,11058.02
2016-03,11110.14
2016-04,11065
2016-05,10746.59
2016-06,10748.22
2016-07,10776.59
2016-08,11883.93
2016-09,12042.04
2016-10,11794.44
2016-11,11171.89
2016-12,11413.24
2017-01,11573.35
2017-02,11633.22
2017-03,11707.87
2017-04,11601.8
2017-05,11683.17
2017-06,11809.49
2017-07,11512.0237
2017-08,11737.33
2017-09,11452.32
2017-10,12208.02
2017-11,11853.03
2017-12,11988.42
2018-01,12104.35
2018-02,12839.04
2018-03,12619.17
2018-04,12695.15
2018-05,12846.61
2018-06,12042.05
2018-07,11892.6
2018-08,11787.85
2018-09,11676.24
2018-10,11896.94
2018-11,11686.06
2018-12,11604.28
2019-01,11503.89
2019-02,11911.89
2019-03,11919.93
2019-04,12033.79
2019-05,11915.74
2019-06,11563.39
2019-07,11571.74
2019-08,11481.45
2019-09,11136.99
2019-10,11519.11
2019-11,11973.2
2019-12,12290.34
2020-01,12463.24
2020-02,12531.37
2020-03,12340.22
2020-04,11224.7
2020-05,11777.18
2020-06,11517.79
2020-07,12058.44
2020-08,12277.04
2020-09,12715.04
2020-10,12498.31
2020-11,12898.01
2020-12,13058.23
2021-01,13448.3400
2021-02,13917.8600
2021-03,14149.4300
2021-04,13762.1600
2021-05,13832.0200
2021-06,13940.3700
2021-07,13723.1600
2021-08,13392.0900
2021-09,13477.7900
2021-10,13332.3900
2021-11,13371.5500
2021-12,12757.6800
2022-01,12488.6041
2022-02,12348.5603
2022-03,12289.0281
2022-04,11814.8006
2022-05,11612.2844
2022-06,10860.9355
2022-07,10831.9712
2022-08,10406.7369
2022-09,10198.3893
2022-10,9793.8013
2022-11,9711.6042
2022-12,10392.2017
2023-01,10686.5351
2023-02,10668.9313
2023-03,10331.8380
2023-04,10518.9415
2023-05,10696.8003
2023-06,10696.1824
2023-07,11019.5873
2023-08,11146.7684
2023-09,10842.7900
2023-10,10613.2200
2023-11,10452.5283
2023-12,10774.4820
2024-01,10831.1426
2024-02,10908.1085
2024-03,10808.7720
2024-04,10928.0235
2024-05,10692.9836
2024-06,10919.5915
2024-07,10953.2286
2024-08,11229.0289
2024-09,11237.4613
2024-10,11419.9732
2024-11,11183.1944
2024-12,10909.7412
2025-01,10967.7259
2025-02,10674.9657
2025-03,10886.0600
2025-04,11224.7186
2025-05,11488.9791
2025-06,11621.8263
2025-07,11661.3175
2025-08,11755.6536
2025-09,11692.4205
2025-10,11834.5378
2025-11,11573.3053
2025-12,11410.1642
2026-01,11632.3279
