month,rate
2015-02,11.58
2015-03,11.8
2015-04,11.23
2015-05,11.49
2015-06,12.0659
2015-07,11.9267
2015-08,11.95
2015-09,11.93
2015-10,11.93
2015-11,11.83
2015-12,11.63
2016-01,11.58
2016-02,10.92
2016-03,11.07
2016-04,11.23
2016-05,10.97
2016-06,11.16
2016-07,11.19
2016-08,9.9962
2016-09,10.01
2016-10,9.7421
2016-11,9.2081
2016-12,9.3098
2017-01,9.2464
2017-02,9.3084
2017-03,9.2367
2017-04,9.1498
2017-05,9.3965
2017-06,9.5025
2017-07,9.2936
2017-08,9.5112
2017-09,9.3121
2017-10,9.8938
2017-11,9.6723
2017-12,9.7435
2018-01,9.8421
2018-02,10.45
2018-03,10.29
2018-04,10.4
2018-05,10.54
2018-06,9.9556
2018-07,9.8598
2018-08,9.7613
2018-09,9.6894
2018-10,10.09
2018-11,10
2018-12,9.8317
2019-01,9.792
2019-02,10.89
2019-03,10.08
2019-04,10.14
2019-05,9.9541
2019-06,9.7042
2019-07,9.7267
2019-08,9.5635
2019-09,9.3059
2019-10,9.6158
2019-11,10
2019-12,9.9458
2020-01,10.04
2020-02,10.1
2020-03,9.8934
2020-04,8.9882
2020-05,9.5053
2020-06,9.4423
2020-07,9.6615
2020-08,9.7929
2020-09,10.1502
2020-10,9.9128
2020-11,10.24
2020-12,10.34
2021-01,10.5200
2021-02,10.6100
2021-03,10.8600
2021-04,10.6000
2021-05,10.7400
2021-06,10.9000
2021-07,10.8100
2021-08,10.5900
2021-09,10.6400
2021-10,10.5500
2021-11,10.6700
2021-12,10.4100
2022-01,10.2085
2022-02,10.4938
2022-03,10.4499
2022-04,10.1667
2022-05,9.9889
2022-06,9.5159
2022-07,9.5364
2022-08,9.2753
2022-09,9.1388
2022-10,8.8542
2022-11,8.8401
2022-12,9.4288
2023-01,9.7722
2023-02,9.7256
2023-03,9.3992
2023-04,9.5434
2023-05,9.7098
2023-06,9.6571
2023-07,9.9790
2023-08,10.1108
2023-09,9.9114
2023-10,9.7241
2023-11,9.5537
2023-12,9.8128
2024-01,9.8812
2024-02,9.9216
2024-03,9.8375
2024-04,9.9005
2024-05,9.6921
2024-06,9.8655
2024-07,9.8707
2024-08,10.1050
2024-09,10.0680
2024-10,10.2189
2024-11,10.0109
2024-12,9.7777
2025-01,9.7813
2025-02,9.5448
2025-03,9.7094
2025-04,9.9989
2025-05,10.2220
2025-06,10.2951
2025-07,10.3279
2025-08,10.3897
2025-09,10.3262
2025-10,10.4477
2025-11,10.2094
2025-12,10.0542
2026-01,10.2108
