month,rate
2015-02,311.46
2015-03,317.16
2015-04,290.085
2015-05,294.8
2015-06,311.7351
2015-07,320.9092
2015-08,323.56
2015-09,323.58
2015-10,321.38
2015-11,321.08
2015-12,313.31
2016-01,314
2016-02,294.93
2016-03,298.1
2016-04,301.11
2016-05,292.11
2016-06,301.21
2016-07,304.48
2016-08,271.8
2016-09,276.06
2016-10,269.65
2016-11,255.3
2016-12,257.9
2017-01,255.71
2017-02,256.85
2017-03,258.99
2017-04,259.1
2017-05,266.25
2017-06,269.48
2017-07,263.4972
2017-08,271.23
2017-09,265.92
2017-10,281.85
2017-11,272.79
2017-12,273.96
2018-01,278.07
2018-02,295.65
2018-03,289.3
2018-04,290.76
2018-05,294.26
2018-06,276
2018-07,275.13
2018-08,272.94
2018-09,269.81
2018-10,274.83
2018-11,269.97
2018-12,266.57
2019-01,264.23
2019-02,273.08
2019-03,273.37
2019-04,275.22
2019-05,273.52
2019-06,265.69
2019-07,263.82
2019-08,260.86
2019-09,253.75
2019-10,260.72
2019-11,268.68
2019-12,269.52
2020-01,272.74
2020-02,274.55
2020-03,270.07
2020-04,245.27
2020-05,257.77
2020-06,256.42
2020-07,263.34
2020-08,266.17
2020-09,275.51
2020-10,266.77
2020-11,275.33
2020-12,277.94
2021-01,282.6700
2021-02,285.1800
2021-03,293.7000
2021-04,287.9300
2021-05,291.4200
2021-06,295.9000
2021-07,291.7200
2021-08,286.0400
2021-09,287.5500
2021-10,285.4100
2021-11,289.1600
2021-12,282.3500
2022-01,276.4870
2022-02,285.2520
2022-03,284.1425
2022-04,276.3400
2022-05,273.0736
2022-06,259.7155
2022-07,257.4818
2022-08,250.7217
2022-09,247.1978
2022-10,237.2562
2022-11,235.5920
2022-12,252.4662
2023-01,259.6702
2023-02,259.0961
2023-03,253.2205
2023-04,258.0913
2023-05,263.3909
2023-06,261.1798
2023-07,269.2562
2023-08,270.3274
2023-09,264.0078
2023-10,258.1823
2023-11,254.6400
2023-12,261.8408
2024-01,263.9994
2024-02,265.2618
2024-03,263.4359
2024-04,265.4646
2024-05,260.3964
2024-06,265.3227
2024-07,265.5308
2024-08,272.0840
2024-09,271.4198
2024-10,276.0531
2024-11,270.3403
2024-12,264.4750
2025-01,264.9313
2025-02,257.9371
2025-03,262.5026
2025-04,271.6352
2025-05,277.4780
2025-06,281.3466
2025-07,281.1856
2025-08,283.1488
2025-09,281.9886
2025-10,285.4834
2025-11,278.7644
2025-12,274.6965
2026-01,279.2133
