month,rate
2015-02,11.72
2015-03,11.93
2015-04,11.3932
2015-05,11.65
2015-06,12.05
2015-07,12.1792
2015-08,12.11
2015-09,12.13
2015-10,11.8033
2015-11,11.98
2015-12,11.78
2016-01,11.62
2016-02,11.05
2016-03,11.14
2016-04,10.94
2016-05,11.17
2016-06,11.35
2016-07,11.38
2016-08,10.22
2016-09,10.27
2016-10,10.05
2016-11,9.5364
2016-12,9.6173
2017-01,9.6068
2017-02,9.5732
2017-03,9.6627
2017-04,9.6889
2017-05,9.9596
2017-06,10.08
2017-07,9.8783
2017-08,10.18
2017-09,10.01
2017-10,10.58
2017-11,10.28
2017-12,10.37
2018-01,10.48
2018-02,11.11
2018-03,10.93
2018-04,11.03
2018-05,11.17
2018-06,10.47
2018-07,10.34
2018-08,10.24
2018-09,10.13
2018-10,10.31
2018-11,10.12
2018-12,10
2019-01,9.895
2019-02,10.24
2019-03,10.25
2019-04,10.35
2019-05,10.23
2019-06,9.9372
2019-07,9.8821
2019-08,9.7681
2019-09,9.5148
2019-10,9.7723
2019-11,10.1
2019-12,10.1
2020-01,10.1778
2020-02,10.21
2020-03,10.06
2020-04,9.1386
2020-05,9.5535
2020-06,9.5094
2020-07,9.7186
2020-08,9.8692
2020-09,10.2177
2020-10,9.8915
2020-11,10.2
2020-12,10.31
2021-01,10.4600
2021-02,10.5600
2021-03,10.8900
2021-04,10.6582
2021-05,10.8100
2021-06,10.9800
2021-07,10.8400
2021-08,10.6300
2021-09,10.7100
2021-10,10.6200
2021-11,10.7400
2021-12,10.4800
2022-01,10.3108
2022-02,10.6186
2022-03,10.5925
2022-04,10.3382
2022-05,10.2345
2022-06,9.7891
2022-07,9.6626
2022-08,9.4172
2022-09,9.2758
2022-10,8.8951
2022-11,8.8383
2022-12,9.4339
2023-01,9.6430
2023-02,9.6921
2023-03,9.4203
2023-04,9.5974
2023-05,9.7730
2023-06,9.6815
2023-07,9.9658
2023-08,10.0627
2023-09,9.9023
2023-10,9.6749
2023-11,9.5387
2023-12,9.7728
2024-01,9.8750
2024-02,9.9293
2024-03,9.8667
2024-04,9.9306
2024-05,9.7560
2024-06,9.9207
2024-07,9.9387
2024-08,10.1755
2024-09,10.1576
2024-10,10.2955
2024-11,10.0640
2024-12,9.8559
2025-01,9.8746
2025-02,9.6231
2025-03,9.7879
2025-04,10.0844
2025-05,10.2995
2025-06,10.5043
2025-07,10.5590
2025-08,10.6295
2025-09,10.5283
2025-10,10.6122
2025-11,10.3561
2025-12,10.2200
2026-01,10.3688
