month,rate
2015-02,31.84
2015-03,32.42
2015-04,31.56
2015-05,31.75
2015-06,34.6727
2015-07,34.1814
2015-08,34.25
2015-09,34.3
2015-10,34.2
2015-11,34.01
2015-12,33.62
2016-01,33.87
2016-02,32.09
2016-03,32.66
2016-04,32.84
2016-05,32
2016-06,33.02
2016-07,33.37
2016-08,30.11
2016-09,30.33
2016-10,29.79
2016-11,28.37
2016-12,28.78
2017-01,29.04
2017-02,29.13
2017-03,29.32
2017-04,29.35
2017-05,30.05
2017-06,30.4
2017-07,29.6882
2017-08,30.55
2017-09,29.9
2017-10,31.71
2017-11,30.89
2017-12,31.32
2018-01,31.57
2018-02,33.57
2018-03,32.94
2018-04,33.24
2018-05,33.66
2018-06,31.86
2018-07,31.57
2018-08,31.3
2018-09,30.98
2018-10,31.62
2018-11,31.1
2018-12,31
2019-01,30.76
2019-02,31.78
2019-03,31.86
2019-04,32.21
2019-05,31.89
2019-06,30.96
2019-07,30.96
2019-08,30.63
2019-09,29.78
2019-10,30.72
2019-11,31.74
2019-12,31.8
2020-01,32.22
2020-02,32.39
2020-03,31.95
2020-04,29.06
2020-05,30.59
2020-06,30.46
2020-07,31.06
2020-08,31.4
2020-09,32.3
2020-10,31.23
2020-11,32.09
2020-12,32.32
2021-01,32.5900
2021-02,32.8300
2021-03,33.8400
2021-04,32.9500
2021-05,33.4600
2021-06,33.9100
2021-07,33.3800
2021-08,32.4300
2021-09,32.7400
2021-10,32.9400
2021-11,33.2900
2021-12,32.5200
2022-01,32.1202
2022-02,33.5333
2022-03,33.4324
2022-04,32.4318
2022-05,32.0228
2022-06,30.4914
2022-07,30.2447
2022-08,29.5293
2022-09,28.9615
2022-10,27.9320
2022-11,27.8885
2022-12,29.8440
2023-01,30.6429
2023-02,30.5030
2023-03,29.6451
2023-04,30.1802
2023-05,30.6645
2023-06,30.4934
2023-07,31.4609
2023-08,31.8424
2023-09,31.1081
2023-10,30.4900
2023-11,30.0644
2023-12,31.0183
2024-01,31.1023
2024-02,31.3279
2024-03,31.1011
2024-04,31.3640
2024-05,30.7394
2024-06,31.4009
2024-07,31.4299
2024-08,32.2646
2024-09,32.2454
2024-10,32.8136
2024-11,32.4594
2024-12,31.9548
2025-01,32.2229
2025-02,31.4142
2025-03,32.1522
2025-04,33.2491
2025-05,34.3929
2025-06,34.9044
2025-07,35.1665
2025-08,35.4584
2025-09,35.3015
2025-10,35.7519
2025-11,35.0415
2025-12,34.5488
2026-01,35.1385
