month,rate
2015-02,10.05
2015-03,10.41
2015-04,10.7
2015-05,10.5
2015-06,10.4247
2015-07,10.4514
2015-08,10.92
2015-09,10.59
2015-10,10.46
2015-11,10.35
2015-12,10.78
2016-01,10.56
2016-02,10.01
2016-03,9.8
2016-04,9.6767
2016-05,9.4144
2016-06,9.7059
2016-07,9.7876
2016-08,8.9597
2016-09,8.8236
2016-10,8.7347
2016-11,8.4176
2016-12,8.8631
2017-01,8.9345
2017-02,8.6904
2017-03,8.7828
2017-04,8.5581
2017-05,8.9048
2017-06,8.5995
2017-07,8.4298
2017-08,8.396
2017-09,8.0225
2017-10,8.4571
2017-11,8.3992
2017-12,8.5389
2018-01,8.5111
2018-02,8.5372
2018-03,8.4447
2018-04,8.5312
2018-05,8.5261
2018-06,8.4279
2018-07,8.3993
2018-08,8.2867
2018-09,8.269
2018-10,8.3713
2018-11,8.4156
2018-12,8.3346
2019-01,8.2137
2019-02,8.5353
2019-03,8.5357
2019-04,8.6179
2019-05,8.588
2019-06,8.4303
2019-07,8.3375
2019-08,8.2858
2019-09,8.073
2019-10,8.3507
2019-11,8.6234
2019-12,8.6808
2020-01,8.7526
2020-02,8.8256
2020-03,8.9387
2020-04,8.2509
2020-05,8.6189
2020-06,8.4575
2020-07,8.4324
2020-08,8.2616
2020-09,8.3123
2020-10,8.2564
2020-11,8.3964
2020-12,8.4767
2021-01,8.3424
2021-02,8.5173
2021-03,8.7647
2021-04,8.7851
2021-05,8.7727
2021-06,8.6953
2021-07,8.7685
2021-08,8.7294
2021-09,8.8073
2021-10,8.7169
2021-11,8.9069
2021-12,8.9443
2022-01,8.8320
2022-02,9.0385
2022-03,8.9983
2022-04,9.0922
2022-05,9.0796
2022-06,8.8972
2022-07,8.7347
2022-08,8.8260
2022-09,8.8885
2022-10,8.6279
2022-11,8.6641
2022-12,8.7719
2023-01,8.7812
2023-02,1.1441
