month,rate
2015-02,70.41
2015-03,71.7
2015-04,69.48
2015-05,70.66
2015-06,75.1108
2015-07,75.8614
2015-08,86.02
2015-09,81.23
2015-10,80.63
2015-11,81.55
2015-12,82.88
2016-01,86.05
2016-02,82.85
2016-03,85.9
2016-04,89.62
2016-05,87.73
2016-06,90.7
2016-07,91.88
2016-08,83.61
2016-09,85.51
2016-10,84.61
2016-11,80.86
2016-12,82.94
2017-01,83.3
2017-02,83.48
2017-03,84.82
2017-04,86.21
2017-05,88.61
2017-06,82.03
2017-07,79.565
2017-08,82.46
2017-09,81.03
2017-10,85.71
2017-11,83.63
2017-12,84.5
2018-01,85.99
2018-02,91.31
2018-03,89.92
2018-04,91.6328
2018-05,92.93
2018-06,88.11
2018-07,87.57
2018-08,87.66
2018-09,88.57
2018-10,91.53
2018-11,92.18
2018-12,93.9
2019-01,96.83
2019-02,102.07
2019-03,108.61
2019-04,108.72
2019-05,109.71
2019-06,112.9
2019-07,117.24
2019-08,116.53
2019-09,113.19
2019-10,116.47
2019-11,117.9
2019-12,118.44
2020-01,119.87
2020-02,121.07
2020-03,121.68
2020-04,113.84
2020-05,123.22
2020-06,130.74
2020-07,139.58
2020-08,149.51
2020-09,158.14
2020-10,96.98
2020-11,81.95
2020-12,85.33
2021-01,94.3300
2021-02,98.2100
2021-03,104.4500
2021-04,107.5100
2021-05,115.4400
2021-06,124.1900
2021-07,129.0000
2021-08,128.1600
2021-09,131.5900
2021-10,132.9000
2021-11,135.9000
2021-12,133.0000
2022-01,131.9723
2022-02,137.7046
2022-03,138.3842
2022-04,137.8825
2022-05,139.3406
2022-06,135.5790
2022-07,138.6994
2022-08,137.9850
2022-09,143.9784
2022-10,130.9039
2022-11,137.5978
2022-12,165.5323
2023-01,177.6962
2023-02,182.3944
2023-03,179.2457
2023-04,187.6273
2023-05,192.0104
2023-06,174.2326
2023-07,176.1978
2023-08,176.5442
2023-09,172.1458
2023-10,166.7942
2023-11,163.3512
2023-12,166.3544
2024-01,166.9302
2024-02,167.1845
2024-03,167.1876
2024-04,169.0723
2024-05,165.4724
2024-06,168.5080
2024-07,168.6335
2024-08,172.1507
2024-09,171.2996
2024-10,174.3642
2024-11,170.4391
2024-12,166.5570
2025-01,166.1645
2025-02,161.2690
2025-03,164.4098
2025-04,170.4089
2025-05,173.1226
2025-06,175.5305
2025-07,176.2477
2025-08,177.6177
2025-09,176.3136
2025-10,178.3049
2025-11,174.6031
2025-12,172.2254
2026-01,174.7190
