month,rate
2015-02,418.04
2015-03,413.73
2015-04,429.03
2015-05,417.52
2015-06,424.0361
2015-07,431.8672
2015-08,445.02
2015-09,436.22
2015-10,424.72
2015-11,419.51
2015-12,440.95
2016-01,439.87
2016-02,410.31
2016-03,399.01
2016-04,398.52
2016-05,389.39
2016-06,409.89
2016-07,409.92
2016-08,376.41
2016-09,364.76
2016-10,358.72
2016-11,344.02
2016-12,364.75
2017-01,367.85
2017-02,355.32
2017-03,363.08
2017-04,356.76
2017-05,374.99
2017-06,356.54
2017-07,351.5663
2017-08,347.02
2017-09,327.65
2017-10,349.14
2017-11,344.37
2017-12,353.14
2018-01,353.09
2018-02,355.02
2018-03,354.47
2018-04,356.74
2018-05,356.78
2018-06,364.09
2018-07,368.12
2018-08,363.48
2018-09,359.59
2018-10,364.27
2018-11,366.35
2018-12,360.72
2019-01,356.9
2019-02,365.08
2019-03,364.93
2019-04,364.38
2019-05,368.82
2019-06,370.53
2019-07,364.98
2019-08,365.06
2019-09,357.94
2019-10,375.7
2019-11,380.39
2019-12,388.69
2020-01,388.77
2020-02,398.7
2020-03,404.3
2020-04,384.17
2020-05,406.18
2020-06,390.76
2020-07,385.14
2020-08,382.3
2020-09,386.69
2020-10,399.91
2020-11,402.49
2020-12,404.04
2021-01,393.7300
2021-02,402.3300
2021-03,415.7200
2021-04,423.1500
2021-05,420.2900
2021-06,404.9500
2021-07,410.3400
2021-08,417.5100
2021-09,411.5200
2021-10,413.1200
2021-11,429.5500
2021-12,433.5900
2022-01,434.7246
2022-02,427.2380
2022-03,424.9411
2022-04,447.6143
2022-05,445.4141
2022-06,451.7498
2022-07,460.1158
2022-08,466.6722
2022-09,484.3108
2022-10,466.9827
2022-11,476.0385
2022-12,476.6535
2023-01,471.7727
2023-02,449.8212
2023-03,427.7619
2023-04,440.0987
2023-05,430.3579
2023-06,427.6950
2023-07,429.1936
2023-08,433.7699
2023-09,447.2893
2023-10,443.3823
2023-11,443.6264
2023-12,437.6076
2024-01,445.7467
2024-02,443.8268
2024-03,453.1681
2024-04,463.0201
2024-05,460.6554
2024-06,455.5258
2024-07,469.1123
2024-08,466.3483
2024-09,459.9404
2024-10,468.3381
2024-11,483.3116
2024-12,492.1745
2025-01,497.3167
2025-02,486.1380
2025-03,486.1053
2025-04,473.7936
2025-05,476.0548
2025-06,476.3399
2025-07,471.7446
2025-08,460.7461
2025-09,456.6978
2025-10,449.6306
2025-11,448.0793
2025-12,433.3110
2026-01,440.9015
