month,rate
2015-02,19082.65
2015-03,19648.46
2015-04,19465.4
2015-05,19221.01
2015-06,20670.2536
2015-07,20760.5848
2015-08,20863.49
2015-09,21520.78
2015-10,22412.63
2015-11,20897.72
2015-12,20759.29
2016-01,21220.38
2016-02,19881.7
2016-03,19502.41
2016-04,19035.43
2016-05,18678.94
2016-06,19573.99
2016-07,19458.77
2016-08,17279.69
2016-09,17553.59
2016-10,17024.84
2016-11,15990.15
2016-12,16716.9
2017-01,16666.47
2017-02,16468.57
2017-03,16599.85
2017-04,16628
2017-05,17033.48
2017-06,17231.9
2017-07,16867.1894
2017-08,17370.06
2017-09,17084.43
2017-10,18018.37
2017-11,17800.62
2017-12,17967.35
2018-01,18202.13
2018-02,18936.41
2018-03,19036.05
2018-04,19357.11
2018-05,19607.3
2018-06,18954.32
2018-07,18356.06
2018-08,18797.16
2018-09,18821.4
2018-10,19565.18
2018-11,19622.46
2018-12,18662.18
2019-01,18259.7
2019-02,18521.91
2019-03,18345.19
2019-04,18707.81
2019-05,18379.58
2019-06,18387.25
2019-07,18024.57
2019-08,17492.48
2019-09,17273.81
2019-10,17551.77
2019-11,18072.1
2019-12,18198.92
2020-01,18266.8
2020-02,17929.46
2020-03,17730.65
2020-04,17901.06
2020-05,19075.99
2020-06,18049.1
2020-07,17659.42
2020-08,18651.74
2020-09,19473.96
2020-10,18908.52
2020-11,19260.14
2020-12,18717.33
2021-01,19064.3900
2021-02,19125.1300
2021-03,19833.0800
2021-04,19792.5700
2021-05,20239.5900
2021-06,20206.8300
2021-07,20160.8000
2021-08,19886.0900
2021-09,19772.3400
2021-10,19434.6800
2021-11,19448.1000
2021-12,19176.9200
2022-01,18941.0800
2022-02,19574.6430
2022-03,19360.2971
2022-04,18955.2259
2022-05,18728.4155
2022-06,18230.8758
2022-07,18300.5053
2022-08,17979.6937
2022-09,17551.2805
2022-10,16994.3460
2022-11,17449.1749
2022-12,18926.5612
2023-01,19344.1183
2023-02,18696.5163
2023-03,18247.9421
2023-04,18768.5926
2023-05,18482.1019
2023-06,18424.6551
2023-07,19028.0473
2023-08,19323.2234
2023-09,19328.4500
2023-10,18996.5400
2023-11,19204.6030
2023-12,19557.4352
2024-01,19646.2957
2024-02,19837.8591
2024-03,19726.1100
2024-04,19975.8631
2024-05,20247.6179
2024-06,20394.6443
2024-07,20862.1566
2024-08,21017.2756
2024-09,20225.4733
2024-10,20225.0450
2024-11,20262.1282
2024-12,20143.5325
2025-01,20468.8499
2025-02,20027.9883
2025-03,20618.0248
2025-04,21445.2502
2025-05,22297.9877
2025-06,21904.0141
2025-07,21978.8193
2025-08,22062.5141
2025-09,21931.5575
2025-10,22459.9163
2025-11,22152.2866
2025-12,21950.6920
2026-01,22258.0334
