month,rate
2015-02,5.9437
2015-03,5.9063
2015-04,5.9104
2015-05,5.9247
2015-06,6.0234
2015-07,6.0299
2015-08,5.973
2015-09,6.058
2015-10,6.03
2015-11,5.9834
2015-12,5.9335
2016-01,5.8285
2016-02,5.6184
2016-03,5.5797
2016-04,5.4133
2016-05,5.4148
2016-06,5.6133
2016-07,5.6569
2016-08,5.0851
2016-09,4.991
2016-10,4.8904
2016-11,4.7058
2016-12,4.8077
2017-01,4.737
2017-02,4.6983
2017-03,4.6705
2017-04,4.5516
2017-05,4.7024
2017-06,4.6462
2017-07,4.4866
2017-08,4.6545
2017-09,4.626
2017-10,4.7446
2017-11,4.6171
2017-12,4.6707
2018-01,4.6853
2018-02,4.8541
2018-03,4.8764
2018-04,4.9143
2018-05,5.0041
2018-06,4.7682
2018-07,4.779
2018-08,4.7515
2018-09,4.6882
2018-10,4.7139
2018-11,4.7534
2018-12,4.7651
2019-01,4.7471
2019-02,4.7977
2019-03,4.7142
2019-04,4.7637
2019-05,4.6654
2019-06,4.575
2019-07,4.5425
2019-08,4.4041
2019-09,4.2753
2019-10,4.405
2019-11,4.5464
2019-12,4.4839
2020-01,4.5713
2020-02,4.5495
2020-03,4.438
2020-04,4.4269
2020-05,4.3637
2020-06,4.2971
2020-07,4.3279
2020-08,4.3527
2020-09,4.483
2020-10,4.4082
2020-11,4.4413
2020-12,4.4544
2021-01,4.3879
2021-02,4.4560
2021-03,4.5868
2021-04,4.5333
2021-05,4.5504
2021-06,4.6208
2021-07,4.5420
2021-08,4.4810
2021-09,4.4483
2021-10,4.3691
2021-11,4.4389
2021-12,4.1424
2022-01,4.1478
2022-02,4.2773
2022-03,4.3321
2022-04,4.2554
2022-05,4.2031
2022-06,4.1776
2022-07,4.2309
2022-08,4.1253
2022-09,3.8673
2022-10,3.9223
2022-11,3.9832
2022-12,4.1311
2023-01,4.2183
2023-02,4.1836
2023-03,4.2363
2023-04,4.4327
2023-05,4.5418
2023-06,4.5982
2023-07,4.6146
2023-08,4.6258
2023-09,4.7798
2023-10,4.7120
2023-11,4.9062
2023-12,4.6704
2024-01,4.6094
2024-02,4.8019
2024-03,4.6410
2024-04,4.6684
2024-05,4.6983
2024-06,4.6782
2024-07,4.7326
2024-08,4.7298
2024-09,4.8537
2024-10,4.9732
2024-11,4.9172
2024-12,4.7310
2025-01,4.5508
2025-02,4.3818
2025-03,4.4633
2025-04,4.7628
2025-05,4.8879
2025-06,4.7629
2025-07,4.7044
2025-08,4.5128
2025-09,4.5803
2025-10,4.5622
2025-11,4.3977
2025-12,4.2894
2026-01,4.2944
