month,rate
2015-02,93.11
2015-03,95.72
2015-04,92.1006
2015-05,94.54
2015-06,99.31
2015-07,100.8013
2015-08,99.41
2015-09,101.95
2015-10,100.6
2015-11,100.76
2015-12,100.86
2016-01,100.19
2016-02,95.67
2016-03,97.95
2016-04,94.1
2016-05,95.36
2016-06,97.92
2016-07,99.06
2016-08,88.55
2016-09,88.93
2016-10,86.85
2016-11,81.98
2016-12,84.94
2017-01,83.99
2017-02,84
2017-03,83.3
2017-04,81.64
2017-05,82.72
2017-06,83.87
2017-07,81.6972
2017-08,83.88
2017-09,82.04
2017-10,87.18
2017-11,85.75
2017-12,86.26
2018-01,85.91
2018-02,90.56
2018-03,90.5
2018-04,91.71
2018-05,93.4
2018-06,91.25
2018-07,89.7
2018-08,89.56
2018-09,90.15
2018-10,95.39
2018-11,94.52
2018-12,91.34
2019-01,89.01
2019-02,93.19
2019-03,92.94
2019-04,90.79
2019-05,90.82
2019-06,88.19
2019-07,88.02
2019-08,86.2265
2019-09,86.79
2019-10,88.93
2019-11,91.35
2019-12,92.72
2020-01,92.77
2020-02,93.55
2020-03,92.67
2020-04,87.35
2020-05,94.52
2020-06,93
2020-07,95.5
2020-08,95.17
2020-09,98.65
2020-10,93.9
2020-11,96.87
2020-12,98.68
2021-01,99.3204
2021-02,99.5500
2021-03,101.8500
2021-04,99.5600
2021-05,104.3000
2021-06,103.5100
2021-07,103.7600
2021-08,102.0300
2021-09,102.1400
2021-10,100.8000
2021-11,103.4400
2021-12,100.0000
2022-01,100.7447
2022-02,101.4525
2022-03,101.9462
2022-04,100.8106
2022-05,99.4187
2022-06,96.7277
2022-07,96.4753
2022-08,95.9566
2022-09,94.3525
2022-10,90.6317
2022-11,93.4439
2022-12,98.7621
2023-01,102.2892
2023-02,100.6977
2023-03,99.3831
2023-04,101.1097
2023-05,102.3752
2023-06,102.2289
2023-07,104.4553
2023-08,105.7912
2023-09,104.4286
2023-10,102.7396
2023-11,101.4708
2023-12,104.4489
2024-01,105.2457
2024-02,105.5103
2024-03,104.6369
2024-04,105.5819
2024-05,104.2174
2024-06,105.8672
2024-07,106.2292
2024-08,108.9003
2024-09,109.3600
2024-10,110.5997
2024-11,108.9029
2024-12,106.8337
2025-01,107.9353
2025-02,106.7843
2025-03,109.3298
2025-04,112.0633
2025-05,113.6384
2025-06,114.7937
2025-07,116.2816
2025-08,117.0133
2025-09,117.3193
2025-10,119.8786
2025-11,116.9491
2025-12,116.2366
2026-01,120.4728
