month,rate
2015-02,1720.1
2015-03,1797
2015-04,1717.14
2015-05,1741.1
2015-06,1838.1947
2015-07,1854.2737
2015-08,1862.85
2015-09,1802.9
2015-10,1852.25
2015-11,1834.14
2015-12,1807.79
2016-01,1810.51
2016-02,1557.53
2016-03,1713.14
2016-04,1719.6
2016-05,1676.49
2016-06,1727.28
2016-07,1732.76
2016-08,1559.61
2016-09,1566.86
2016-10,1532.62
2016-11,1453.03
2016-12,1466.79
2017-01,1462.59
2017-02,1458.93
2017-03,1472.51
2017-04,1475.17
2017-05,1514.2
2017-06,1530.57
2017-07,1496.9415
2017-08,1543.46
2017-09,1512.99
2017-10,1605.35
2017-11,1558.67
2017-12,1571.44
2018-01,1585.93
2018-02,1683.28
2018-03,1655.06
2018-04,843.06
2018-05,1691.76
2018-06,1585.63
2018-07,1565.95
2018-08,1554.14
2018-09,1536.82
2018-10,1565.21
2018-11,1536.53
2018-12,1520.57
2019-01,1505.78
2019-02,1554.37
2019-03,1554.62
2019-04,1569.42
2019-05,1552.83
2019-06,1506.42
2019-07,1503.15
2019-08,1487.44
2019-09,1447.28
2019-10,1485.53
2019-11,1533.59
2019-12,1536.53
2020-01,1556.1
2020-02,1564.36
2020-03,1541.23
2020-04,1400.44
2020-05,1466.9
2020-06,1460.12
2020-07,1492.88
2020-08,1514.41
2020-09,1573.42
2020-10,1520.08
2020-11,1566.34
2020-12,1584.38
2021-01,1606.1300
2021-02,1991.5700
2021-03,2054.9600
2021-04,2006.6900
2021-05,2035.7900
2021-06,2068.7700
2021-07,2041.5700
2021-08,1995.7800
2021-09,2007.1800
2021-10,1991.5600
2021-11,2016.9900
2021-12,1965.8200
2022-01,1929.4559
2022-02,1989.8328
2022-03,1983.2163
2022-04,1928.9461
2022-05,1904.9359
2022-06,1812.2238
2022-07,1797.1221
2022-08,1749.1078
2022-09,1725.8703
2022-10,1654.3909
2022-11,1643.8109
2022-12,1761.2183
2023-01,1811.4221
2023-02,1807.4079
2023-03,1751.4891
2023-04,1785.2128
2023-05,1642.3060
2023-06,1617.7238
2023-07,1667.8974
2023-08,1688.1226
2023-09,1658.3540
2023-10,1621.2070
2023-11,1594.6420
2023-12,1644.8512
2024-01,1651.5776
2024-02,1663.6224
2024-03,1650.4353
2024-04,1660.5116
2024-05,1631.8338
2024-06,1664.8736
2024-07,1663.0411
2024-08,1707.3257
2024-09,1699.3484
2024-10,1729.9403
2024-11,1698.8283
2024-12,1654.3303
2025-01,1662.7077
2025-02,1612.2474
2025-03,1648.2163
2025-04,1697.3186
2025-05,1738.3204
2025-06,1753.6147
2025-07,1762.1718
2025-08,1770.6814
2025-09,1764.9052
2025-10,1789.2232
2025-11,1743.9098
2025-12,1720.8643
2026-01,1748.7546
