month,rate
2015-02,199.87
2015-03,202.37
2015-04,206.53
2015-05,203.39
2015-06,204.6966
2015-07,205.7294
2015-08,212.11
2015-09,206.51
2015-10,197.04
2015-11,192.37
2015-12,199.18
2016-01,195.84
2016-02,184.86
2016-03,183.35
2016-04,181.21
2016-05,175.82
2016-06,181.13
2016-07,180.23
2016-08,161.33
2016-09,155.08
2016-10,149.32
2016-11,140.35
2016-12,141.26
2017-01,140.55
2017-02,138.8
2017-03,139.03
2017-04,137.9
2017-05,141.13
2017-06,130.42
2017-07,133.4266
2017-08,138.59
2017-09,137.11
2017-10,145.13
2017-11,139.12
2017-12,138.5
2018-01,141.07
2018-02,144.61
2018-03,140.57
2018-04,140.67
2018-05,141.79
2018-06,141.12
2018-07,143.82
2018-08,139.42
2018-09,138.91
2018-10,145.17
2018-11,155.56
2018-12,158.35
2019-01,153.42
2019-02,157.25
2019-03,156.21
2019-04,154.62
2019-05,156.53
2019-06,157.18
2019-07,159.36
2019-08,152.44
2019-09,151.23
2019-10,154.39
2019-11,160.72
2019-12,158.57
2020-01,161.2
2020-02,163.49
2020-03,165.49
2020-04,165.02
2020-05,180.57
2020-06,174.69
2020-07,170.29
2020-08,173.31
2020-09,179.69
2020-10,176.48
2020-11,182.2
2020-12,180.91
2021-01,171.8800
2021-02,176.5800
2021-03,179.8900
2021-04,173.6100
2021-05,174.8600
2021-06,173.3400
2021-07,171.1600
2021-08,171.6800
2021-09,174.3200
2021-10,176.6400
2021-11,177.9100
2021-12,177.8900
2022-01,172.6599
2022-02,174.4375
2022-03,169.2014
2022-04,169.8133
2022-05,166.9233
2022-06,164.2421
2022-07,161.5748
2022-08,164.5733
2022-09,165.7427
2022-10,160.9348
2022-11,162.2700
2022-12,170.6061
2023-01,175.8058
2023-02,176.7476
2023-03,173.0218
2023-04,169.8896
2023-05,169.8435
2023-06,173.6182
2023-07,171.8762
2023-08,168.6963
2023-09,167.1846
2023-10,167.8979
2023-11,168.8525
2023-12,176.7592
2024-01,173.8585
2024-02,174.3880
2024-03,173.2519
2024-04,173.8485
2024-05,176.3244
2024-06,176.1966
2024-07,176.8399
2024-08,177.9503
2024-09,179.0421
2024-10,180.8872
2024-11,179.6502
2024-12,174.2930
2025-01,175.1866
2025-02,173.3485
2025-03,177.1133
2025-04,173.1123
2025-05,169.7241
2025-06,171.3008
2025-07,167.8591
2025-08,164.2019
2025-09,165.9613
2025-10,164.6149
2025-11,163.1603
2025-12,166.3575
2026-01,168.4664
