month,rate
2015-02,174.19
2015-03,178.11
2015-04,170.12
2015-05,171.6
2015-06,182.714
2015-07,180.6062
2015-08,183.06
2015-09,182.87
2015-10,184.39
2015-11,184.14
2015-12,181.43
2016-01,182.42
2016-02,172
2016-03,175.21
2016-04,176.51
2016-05,172.85
2016-06,181.28
2016-07,184.42
2016-08,166.83
2016-09,168.01
2016-10,165.38
2016-11,157.84
2016-12,160.19
2017-01,159.37
2017-02,159.22
2017-03,158.89
2017-04,160.8
2017-05,164.42
2017-06,168.19
2017-07,163.3085
2017-08,166.6
2017-09,163.54
2017-10,176.96
2017-11,168.21
2017-12,167.45
2018-01,167.4
2018-02,176.77
2018-03,175.98
2018-04,179.12
2018-05,177.25
2018-06,168
2018-07,173.24
2018-08,170.84
2018-09,176.18
2018-10,178.81
2018-11,167.75
2018-12,160.76
2019-01,162.28
2019-02,169.46
2019-03,173.61
2019-04,163.65
2019-05,171.19
2019-06,170.63
2019-07,163.24
2019-08,171.24
2019-09,163.06
2019-10,170.2
2019-11,178.02
2019-12,179.29
2020-01,174.76
2020-02,180.12
2020-03,182.36
2020-04,159.88
2020-05,172.16
2020-06,180.67
2020-07,176.22
2020-08,184.45
2020-09,197.67
2020-10,181.2
2020-11,191.73
2020-12,195.82
2021-01,193.4100
2021-02,196.5900
2021-03,211.8000
2021-04,199.6300
2021-05,210.4300
2021-06,212.1700
2021-07,209.7000
2021-08,211.2100
2021-09,212.5400
2021-10,202.2000
2021-11,208.9200
2021-12,209.0900
2022-01,203.8307
2022-02,211.3421
2022-03,213.3843
2022-04,201.5759
2022-05,201.4181
2022-06,192.2097
2022-07,186.3678
2022-08,182.0071
2022-09,178.4230
2022-10,172.0213
2022-11,171.9078
2022-12,185.7491
2023-01,190.5704
2023-02,189.1612
2023-03,185.0020
2023-04,184.8036
2023-05,189.7354
2023-06,190.6430
2023-07,195.8683
2023-08,199.0430
2023-09,194.9276
2023-10,191.2289
2023-11,189.6187
2023-12,195.2296
2024-01,196.4933
2024-02,197.3138
2024-03,197.3766
2024-04,195.4596
2024-05,193.3734
2024-06,198.3393
2024-07,197.8881
2024-08,203.6292
2024-09,204.0500
2024-10,207.6806
2024-11,205.6477
2024-12,201.1121
2025-01,198.6574
2025-02,194.8448
2025-03,198.3261
2025-04,203.0855
2025-05,209.5604
2025-06,213.3224
2025-07,213.9185
2025-08,216.8967
2025-09,215.6084
2025-10,218.9310
2025-11,214.3965
2025-12,210.8915
2026-01,213.8874
