month,rate
2015-02,1.0738
2015-03,1.0941
2015-04,1.0446
2015-05,1.0596
2015-06,1.1185
2015-07,1.1035
2015-08,1.1079
2015-09,1.1052
2015-10,1.1054
2015-11,1.0951
2015-12,1.0773
2016-01,1.0792
2016-02,1.0157
2016-03,1.0257
2016-04,1.0292
2016-05,1.006
2016-06,1.0353
2016-07,1.0389
2016-08,0.935
2016-09,0.9395
2016-10,0.9191
2016-11,0.8716
2016-12,0.8793
2017-01,0.8776
2017-02,0.8755
2017-03,0.8829
2017-04,0.8845
2017-05,0.9083
2017-06,0.9181
2017-07,0.8979
2017-08,0.9246
2017-09,0.9072
2017-10,0.9617
2017-11,0.9338
2017-12,0.9418
2018-01,0.9505
2018-02,1.0084
2018-03,0.9911
2018-04,0.9979
2018-05,1.0099
2018-06,0.9466
2018-07,0.9358
2018-08,0.9265
2018-09,0.9165
2018-10,0.9332
2018-11,0.9161
2018-12,0.907
2019-01,0.8971
2019-02,0.9269
2019-03,0.9259
2019-04,0.9351
2019-05,0.9252
2019-06,0.8975
2019-07,0.8956
2019-08,0.8862
2019-09,0.8601
2019-10,0.8851
2019-11,0.9133
2019-12,0.9155
2020-01,0.9267
2020-02,0.9317
2020-03,0.9183
2020-04,0.834
2020-05,0.874
2020-06,0.8699
2020-07,0.8891
2020-08,0.9027
2020-09,0.9347
2020-10,0.9049
2020-11,0.9332
2020-12,0.9432
2021-01,0.9569
2021-02,0.9665
2021-03,0.9962
2021-04,0.9728
2021-05,0.9876
2021-06,1.0029
2021-07,0.9904
2021-08,0.9695
2021-09,0.9754
2021-10,0.9675
2021-11,0.9795
2021-12,0.9546
2022-01,0.9370
2022-02,0.9663
2022-03,0.9628
2022-04,0.9367
2022-05,0.9251
2022-06,0.8800
2022-07,0.8727
2022-08,0.8519
2022-09,0.8390
2022-10,0.8039
2022-11,0.7990
2022-12,0.8566
2023-01,0.8796
2023-02,0.8798
2023-03,0.8520
2023-04,0.8685
2023-05,0.8838
2023-06,0.8779
2023-07,0.9040
2023-08,0.9132
2023-09,0.8955
2023-10,0.8768
2023-11,0.8641
2023-12,0.8888
2024-01,0.8970
2024-02,0.8998
2024-03,0.8944
2024-04,0.8999
2024-05,0.8832
2024-06,0.9011
2024-07,0.9027
2024-08,0.9241
2024-09,0.9240
2024-10,0.9367
2024-11,0.9183
2024-12,0.8977
2025-01,0.9009
2025-02,0.8761
2025-03,0.8923
2025-04,0.9201
2025-05,0.9409
2025-06,0.9509
2025-07,0.9537
2025-08,0.9600
2025-09,0.9553
2025-10,0.9676
2025-11,0.9449
2025-12,0.9306
2026-01,0.9450
