month,rate
2015-02,177.32
2015-03,183.26
2015-04,177.556
2015-05,180.26
2015-06,188.54
2015-07,195.2082
2015-08,193.93
2015-09,194.45
2015-10,183.51
2015-11,185.45
2015-12,187.96
2016-01,182.77
2016-02,166.59
2016-03,163.61
2016-04,158.96
2016-05,157.31
2016-06,160.22
2016-07,153.37
2016-08,140.64
2016-09,133.25
2016-10,130.52
2016-11,126.99
2016-12,140.02
2017-01,145.63
2017-02,139.81
2017-03,142.74
2017-04,138.58
2017-05,139.61
2017-06,145.04
2017-07,141.2913
2017-08,145.67
2017-09,139.51
2017-10,151.11
2017-11,148.79
2017-12,148.27
2018-01,151.89
2018-02,155.28
2018-03,150.43
2018-04,149.54
2018-05,152.64
2018-06,146.7
2018-07,145.06
2018-08,147.17
2018-09,142.59
2018-10,147.74
2018-11,145.33
2018-12,144.35
2019-01,141.96
2019-02,143.2
2019-03,144.7
2019-04,146.95
2019-05,146.14
2019-06,139.65
2019-07,136.93
2019-08,135.07
2019-09,129.15
2019-10,135.1
2019-11,139.92
2019-12,140.27
2020-01,143.24
2020-02,144.42
2020-03,143.69
2020-04,127.61
2020-05,132.88
2020-06,131.82
2020-07,134.48
2020-08,136.46
2020-09,139.28
2020-10,134.37
2020-11,137.44
2020-12,137.91
2021-01,139.7100
2021-02,141.1800
2021-03,147.6400
2021-04,149.3000
2021-05,150.6600
2021-06,153.6100
2021-07,154.7700
2021-08,150.8700
2021-09,151.1800
2021-10,149.5900
2021-11,157.9200
2021-12,154.2200
2022-01,150.4381
2022-02,155.8339
2022-03,156.7427
2022-04,159.9176
2022-05,166.6101
2022-06,161.2004
2022-07,167.2185
2022-08,165.6530
2022-09,161.6703
2022-10,163.3144
2022-11,168.5751
2022-12,168.6032
2023-01,167.2828
2023-02,159.1008
2023-03,161.1817
2023-04,162.2757
2023-05,167.5963
2023-06,171.8808
2023-07,180.8396
2023-08,179.9010
2023-09,183.6765
2023-10,182.9018
2023-11,182.4297
2023-12,186.5126
2024-01,181.3967
2024-02,187.4115
2024-03,189.3119
2024-04,192.5866
2024-05,192.6387
2024-06,199.0106
2024-07,201.0431
2024-08,203.9707
2024-09,190.3768
2024-10,187.4101
2024-11,198.2134
2024-12,197.3097
2025-01,195.2761
2025-02,192.6188
2025-03,191.1158
2025-04,194.4474
2025-05,189.3407
2025-06,192.8257
2025-07,194.8485
2025-08,197.9633
2025-09,198.7858
2025-10,199.7140
2025-11,202.2715
2025-12,204.8929
2026-01,207.3164
