month,rate
2015-02,138.62
2015-03,141.14
2015-04,135.42
2015-05,139.85
2015-06,151.6037
2015-07,151.409
2015-08,160.17
2015-09,159.6
2015-10,163.94
2015-11,158.31
2015-12,155.63
2016-01,155.33
2016-02,146.52
2016-03,147.24
2016-04,147.36
2016-05,143.54
2016-06,147.72
2016-07,148.48
2016-08,133.88
2016-09,134.39
2016-10,131.29
2016-11,124.65
2016-12,126.34
2017-01,126.7
2017-02,128.24
2017-03,129.02
2017-04,128.36
2017-05,132.43
2017-06,133.73
2017-07,131.2293
2017-08,135.63
2017-09,132.1
2017-10,140.25
2017-11,136.24
2017-12,137.41
2018-01,138.14
2018-02,145.5
2018-03,141.74
2018-04,142.12
2018-05,142.91
2018-06,134.68
2018-07,133.01
2018-08,131.33
2018-09,130.05
2018-10,132.51
2018-11,130.67
2018-12,130.71
2019-01,128.83
2019-02,132.34
2019-03,131.09
2019-04,133.2
2019-05,132.12
2019-06,128.23
2019-07,128.7
2019-08,129.99
2019-09,124.94
2019-10,129.82
2019-11,133.19
2019-12,130.92
2020-01,131.95
2020-02,132.52
2020-03,131.19
2020-04,122.57
2020-05,132.2
2020-06,131.16
2020-07,133.29
2020-08,137.88
2020-09,143.04
2020-10,138.35
2020-11,143.07
2020-12,145.53
2021-01,150.6200
2021-02,150.2200
2021-03,153.9900
2021-04,150.6500
2021-05,151.0600
2021-06,152.5500
2021-07,150.5100
2021-08,147.9500
2021-09,150.6300
2021-10,150.6400
2021-11,153.4100
2021-12,150.8000
2022-01,149.2024
2022-02,154.6209
2022-03,154.2577
2022-04,151.3430
2022-05,150.7639
2022-06,144.4193
2022-07,144.7545
2022-08,142.2179
2022-09,141.6750
2022-10,136.4306
2022-11,136.4588
2022-12,147.5610
2023-01,152.4080
2023-02,153.7232
2023-03,150.6259
2023-04,160.1047
2023-05,168.3246
2023-06,170.7679
2023-07,178.6305
2023-08,182.6652
2023-09,182.8123
2023-10,182.0572
2023-11,182.5713
2023-12,191.4347
2024-01,195.0809
2024-02,204.3094
2024-03,183.5712
2024-04,168.2019
2024-05,164.7241
2024-06,167.7490
2024-07,164.8814
2024-08,169.4250
2024-09,168.0518
2024-10,170.5181
2024-11,167.2510
2024-12,163.7172
2025-01,164.1779
2025-02,159.7427
2025-03,162.8423
2025-04,167.9084
2025-05,171.9482
2025-06,173.3049
2025-07,173.7749
2025-08,174.9297
2025-09,174.0885
2025-10,176.2807
2025-11,172.1643
2025-12,170.5808
2026-01,171.8066
