month,rate
2015-02,91.16
2015-03,93.43
2015-04,90.82
2015-05,95.12
2015-06,92.6968
2015-07,92.9928
2015-08,98.5
2015-09,95.84
2015-10,109.9
2015-11,106.27
2015-12,109.27
2016-01,115.43
2016-02,108.57
2016-03,109.06
2016-04,104.56
2016-05,97.23
2016-06,99.92
2016-07,99.3
2016-08,88.47
2016-09,90.64
2016-10,89.17
2016-11,84.02
2016-12,85.7
2017-01,85.81
2017-02,85.78
2017-03,86.32
2017-04,86.46
2017-05,86.95
2017-06,87.86
2017-07,86.7517
2017-08,90.29
2017-09,87.85
2017-10,92.86
2017-11,90.3
2017-12,92.59
2018-01,93.46
2018-02,97.7
2018-03,95.21
2018-04,96
2018-05,98.06
2018-06,91.26
2018-07,90
2018-08,88.94
2018-09,89.71
2018-10,91.28
2018-11,89.42
2018-12,89.22
2019-01,88.28
2019-02,91.09
2019-03,91.12
2019-04,92
2019-05,90.95
2019-06,88.42
2019-07,88.08
2019-08,87.07
2019-09,84.67
2019-10,87.12
2019-11,89.93
2019-12,90.19
2020-01,91.28
2020-02,91.58
2020-03,90.45
2020-04,85.75
2020-05,98.27
2020-06,93.42
2020-07,93.65
2020-08,98.38
2020-09,102.65
2020-10,101.16
2020-11,106.88
2020-12,112.8
2021-01,112.0100
2021-02,115.5900
2021-03,118.7900
2021-04,116.3500
2021-05,118.1200
2021-06,119.1700
2021-07,118.2400
2021-08,115.8200
2021-09,116.3800
2021-10,115.7100
2021-11,117.1400
2021-12,114.1600
2022-01,112.0579
2022-02,115.5707
2022-03,115.1481
2022-04,131.3846
2022-05,107.7169
2022-06,99.6444
2022-07,97.8570
2022-08,95.4061
2022-09,94.9157
2022-10,92.0044
2022-11,92.6155
2022-12,101.8718
2023-01,105.3892
2023-02,106.1750
2023-03,104.3820
2023-04,106.9240
2023-05,108.9628
2023-06,108.2231
2023-07,111.1561
2023-08,113.2331
2023-09,111.3646
2023-10,109.7060
2023-11,108.8584
2023-12,111.4868
2024-01,112.4214
2024-02,113.3119
2024-03,112.8099
2024-04,113.6169
2024-05,110.8787
2024-06,111.8696
2024-07,111.1525
2024-08,110.7264
2024-09,111.5702
2024-10,111.4528
2024-11,110.7419
2024-12,109.5264
2025-01,110.3186
2025-02,108.0580
2025-03,110.3835
2025-04,113.5638
2025-05,116.0917
2025-06,117.3220
2025-07,117.6642
2025-08,118.4469
2025-09,117.8443
2025-10,119.3645
2025-11,116.5703
2025-12,114.8368
2026-01,116.5748
