month,rate
2015-02,6149.7
2015-03,6252.2
2015-04,5908.21
2015-05,5968.22
2015-06,6340.5082
2015-07,6398.879
2015-08,6422.66
2015-09,6418.38
2015-10,6384.67
2015-11,6255.4
2015-12,6144.98
2016-01,6160.32
2016-02,5783.13
2016-03,5820.35
2016-04,5811.84
2016-05,5671.02
2016-06,5936.96
2016-07,6015.52
2016-08,5383.21
2016-09,5435.34
2016-10,5313.97
2016-11,5003.25
2016-12,4984.37
2017-01,4999.07
2017-02,4980.37
2017-03,4993.46
2017-04,4977.54
2017-05,5125.47
2017-06,5252.11
2017-07,5186.1045
2017-08,5347.03
2017-09,5242.07
2017-10,5505.27
2017-11,5325.95
2017-12,5351.94
2018-01,5405.33
2018-02,5711.92
2018-03,5606.81
2018-04,5604.93
2018-05,5722.25
2018-06,5431.33
2018-07,5349.42
2018-08,5296.6
2018-09,5253.98
2018-10,5396.69
2018-11,5255.2
2018-12,5163.55
2019-01,5087.42
2019-02,5245.69
2019-03,5225.61
2019-04,5262.18
2019-05,5258.76
2019-06,5135.13
2019-07,5150.5
2019-08,5103.55
2019-09,4949.9
2019-10,5130.7
2019-11,5230.07
2019-12,5235.83
2020-01,5315.99
2020-02,5321.87
2020-03,5284.22
2020-04,4764.2
2020-05,5029.39
2020-06,5039.26
2020-07,5098.75
2020-08,5219.93
2020-09,5388.58
2020-10,5223.92
2020-11,5403.23
2020-12,5405
2021-01,5452.7500
2021-02,5528.9700
2021-03,5718.7800
2021-04,5559.7400
2021-05,5645.6300
2021-06,5761.4500
2021-07,5704.9400
2021-08,5576.4400
2021-09,5611.9400
2021-10,5578.2900
2021-11,5636.5200
2021-12,5486.8100
2022-01,5378.6888
2022-02,5550.4068
2022-03,3041.7012
2022-04,5346.8800
2022-05,5281.6304
2022-06,5040.7130
2022-07,5003.6312
2022-08,4897.8097
2022-09,4858.4432
2022-10,4602.8329
2022-11,4659.6104
2022-12,4991.0930
2023-01,5102.5163
2023-02,5097.4155
2023-03,4903.5440
2023-04,4966.5177
2023-05,5063.9383
2023-06,5076.9235
2023-07,5253.2403
2023-08,5320.8077
2023-09,5234.7230
2023-10,5101.0870
2023-11,5025.6131
2023-12,5155.6452
2024-01,5182.6108
2024-02,5182.0208
2024-03,5137.2178
2024-04,5141.4855
2024-05,5037.4718
2024-06,5182.5987
2024-07,5237.3171
2024-08,5349.1315
2024-09,5322.8482
2024-10,5361.9614
2024-11,5252.9966
2024-12,5121.2653
2025-01,5104.0549
2025-02,4969.4385
2025-03,5046.5374
2025-04,5202.2417
2025-05,5312.3367
2025-06,5368.5830
2025-07,5406.6398
2025-08,5426.5458
2025-09,5397.4816
2025-10,5464.2938
2025-11,5373.9380
2025-12,5257.4325
2026-01,5343.3220
