month,rate
2015-02,641.21
2015-03,664.51
2015-04,689.78
2015-05,682.98
2015-06,679.0648
2015-07,679.724
2015-08,708.68
2015-09,691.12
2015-10,674.2
2015-11,667.89
2015-12,696.43
2016-01,680.64
2016-02,642.76
2016-03,632.54
2016-04,632.26
2016-05,617.38
2016-06,637.64
2016-07,640.41
2016-08,588.86
2016-09,579.5
2016-10,572.38
2016-11,551.42
2016-12,579.17
2017-01,583.49
2017-02,567.85
2017-03,579.39
2017-04,568.19
2017-05,588.2
2017-06,569.6
2017-07,559.1417
2017-08,557.01
2017-09,532.77
2017-10,556.29
2017-11,550.18
2017-12,554.45
2018-01,555.04
2018-02,565.11
2018-03,558.22
2018-04,564.05
2018-05,565.79
2018-06,560.79
2018-07,559.84
2018-08,551.4
2018-09,547.55
2018-10,554.51
2018-11,557.41
2018-12,551.72
2019-01,544.55
2019-02,564.73
2019-03,566.31
2019-04,571.55
2019-05,567.98
2019-06,558.34
2019-07,554.08
2019-08,551.85
2019-09,537.95
2019-10,555.31
2019-11,570.12
2019-12,574.03
2020-01,577.97
2020-02,583.69
2020-03,590.38
2020-04,534.19
2020-05,560.09
2020-06,549.13
2020-07,549.72
2020-08,540.28
2020-09,545.02
2020-10,537.88
2020-11,545.33
2020-12,551.08
2021-01,544.8600
2021-02,554.0100
2021-03,569.5200
2021-04,570.5800
2021-05,569.7100
2021-06,569.6900
2021-07,575.1800
2021-08,570.6700
2021-09,577.8900
2021-10,572.1300
2021-11,583.5100
2021-12,585.7900
2022-01,577.8409
2022-02,591.0114
2022-03,587.8342
2022-04,590.8157
2022-05,590.7646
2022-06,580.8843
2022-07,571.4772
2022-08,577.9061
2022-09,582.0222
2022-10,564.3271
2022-11,565.7581
2022-12,572.1561
2023-01,573.2204
2023-02,562.8475
2023-03,553.0750
2023-04,557.5955
2023-05,558.9288
2023-06,565.2441
2023-07,571.7713
2023-08,566.5007
2023-09,574.7587
2023-10,568.4780
2023-11,567.7868
2023-12,565.7400
2024-01,569.0535
2024-02,573.8703
2024-03,574.7104
2024-04,575.9490
2024-05,576.2767
2024-06,577.5019
2024-07,582.6995
2024-08,586.3346
2024-09,576.7957
2024-10,584.2743
2024-11,591.8804
2024-12,590.1497
2025-01,595.5901
2025-02,582.1053
2025-03,593.9321
2025-04,585.2858
2025-05,574.6290
2025-06,582.7890
2025-07,575.0536
2025-08,568.0711
2025-09,569.3648
2025-10,567.1177
2025-11,566.0533
2025-12,557.3228
2026-01,559.9734
