month,rate
2015-02,1636.36
2015-03,1707.12
2015-04,1659.2506
2015-05,1623.8
2015-06,1704.64
2015-07,1756.2451
2015-08,1803.54
2015-09,1854.91
2015-10,1814.42
2015-11,1750.74
2015-12,1782.99
2016-01,1764.96
2016-02,1705.63
2016-03,1757.25
2016-04,1638.58
2016-05,1635.1
2016-06,1729.04
2016-07,1697.11
2016-08,1503.54
2016-09,1486.7
2016-10,1451.68
2016-11,1380.81
2016-12,1458.3
2017-01,1477.32
2017-02,1440.11
2017-03,1422.26
2017-04,1401.32
2017-05,1460.58
2017-06,1458.44
2017-07,1448.88
2017-08,1461.5
2017-09,1448.19
2017-10,1530.41
2017-11,1488.08
2017-12,1446.77
2018-01,1449.19
2018-02,1522.06
2018-03,1504.16
2018-04,1507.91
2018-05,1521.09
2018-06,1441.61
2018-07,1456.13
2018-08,1477.54
2018-09,1444.39
2018-10,1474.52
2018-11,1461.83
2018-12,1446.07
2019-01,1420.44
2019-02,1472.54
2019-03,1467.87
2019-04,1490.82
2019-05,1480.73
2019-06,1510.22
2019-07,1485.59
2019-08,1472.25
2019-09,1458.62
2019-10,1487.27
2019-11,1510.27
2019-12,1510.83
2020-01,1527.67
2020-02,1530.26
2020-03,1540.38
2020-04,1465.25
2020-05,1518.86
2020-06,1509.57
2020-07,1522.28
2020-08,1521.86
2020-09,1557.28
2020-10,1486.06
2020-11,1489.93
2020-12,1468.58
2021-01,1476.4900
2021-02,1499.9500
2021-03,1560.3000
2021-04,1555.5400
2021-05,1558.0800
2021-06,1599.0700
2021-07,1589.1100
2021-08,1577.8900
2021-09,1607.6400
2021-10,1603.2800
2021-11,1622.2200
2021-12,1592.1800
2022-01,1566.6259
2022-02,1624.2351
2022-03,1626.1561
2022-04,1603.6018
2022-05,1612.6720
2022-06,1590.2433
2022-07,1597.1002
2022-08,1575.0140
2022-09,1586.4414
2022-10,1579.9436
2022-11,1605.7558
2022-12,1630.9529
2023-01,1608.1310
2023-02,1533.5144
2023-03,1538.8448
2023-04,1599.5181
2023-05,1650.5649
2023-06,1628.9107
2023-07,1644.4069
2023-08,1630.8425
2023-09,1692.9220
2023-10,1640.3510
2023-11,1648.3003
2023-12,1630.7669
2024-01,1646.5584
2024-02,1708.1435
2024-03,1683.5372
2024-04,1701.8074
2024-05,1725.0050
2024-06,1738.3524
2024-07,1757.9587
2024-08,1797.2375
2024-09,1741.8249
2024-10,1749.9019
2024-11,1794.4452
2024-12,1769.3887
2025-01,1826.2589
2025-02,1770.7726
2025-03,1814.7341
2025-04,1892.7175
2025-05,1881.6926
2025-06,1847.5864
2025-07,1850.5834
2025-08,1862.2267
2025-09,1885.3408
2025-10,1880.7210
2025-11,1909.4799
2025-12,1924.4352
2026-01,1972.0638
