month,rate
2015-02,0.445
2015-03,0.4555
2015-04,0.4429
2015-05,0.4511
2015-06,0.475
2015-07,0.47
2015-08,0.4739
2015-09,0.4723
2015-10,0.4702
2015-11,0.4664
2015-12,0.4618
2016-01,0.4613
2016-02,0.4348
2016-03,0.4315
2016-04,0.4362
2016-05,0.4278
2016-06,0.4414
2016-07,0.4417
2016-08,0.3986
2016-09,0.3993
2016-10,0.391
2016-11,0.3717
2016-12,0.3784
2017-01,0.3788
2017-02,0.3766
2017-03,0.3808
2017-04,0.3801
2017-05,0.3902
2017-06,0.3931
2017-07,0.3846
2017-08,0.3949
2017-09,0.3864
2017-10,0.4087
2017-11,0.3979
2017-12,0.4014
2018-01,0.4049
2018-02,0.4267
2018-03,0.4192
2018-04,0.4218
2018-05,0.4269
2018-06,0.4032
2018-07,0.3989
2018-08,0.3954
2018-09,0.3913
2018-10,0.3981
2018-11,0.3919
2018-12,0.3886
2019-01,0.3846
2019-02,0.3963
2019-03,0.3967
2019-04,0.4004
2019-05,0.3968
2019-06,0.3855
2019-07,0.3841
2019-08,0.3805
2019-09,0.3691
2019-10,0.3795
2019-11,0.391
2019-12,0.3921
2020-01,0.3968
2020-02,0.3991
2020-03,0.3962
2020-04,0.3651
2020-05,0.3846
2020-06,0.3788
2020-07,0.386
2020-08,0.3907
2020-09,0.4026
2020-10,0.3909
2020-11,0.402
2020-12,0.4068
2021-01,0.4113
2021-02,0.4139
2021-03,0.4250
2021-04,0.4145
2021-05,0.4194
2021-06,0.4254
2021-07,0.4204
2021-08,0.4114
2021-09,0.4141
2021-10,0.4107
2021-11,0.4165
2021-12,0.4074
2022-01,0.4006
2022-02,0.4120
2022-03,0.4106
2022-04,0.4019
2022-05,0.3983
2022-06,0.3804
2022-07,0.3775
2022-08,0.3693
2022-09,0.3638
2022-10,0.3505
2022-11,0.3494
2022-12,0.3714
2023-01,0.3799
2023-02,0.3782
2023-03,0.3679
2023-04,0.3749
2023-05,0.3817
2023-06,0.3802
2023-07,0.3912
2023-08,0.3952
2023-09,0.3896
2023-10,0.3818
2023-11,0.3770
2023-12,0.3862
2024-01,0.3893
2024-02,0.3907
2024-03,0.3882
2024-04,0.3904
2024-05,0.3840
2024-06,0.3901
2024-07,0.3903
2024-08,0.3981
2024-09,0.3983
2024-10,0.4028
2024-11,0.3971
2024-12,0.3894
2025-01,0.3909
2025-02,0.3809
2025-03,0.3887
2025-04,0.3997
2025-05,0.4069
2025-06,0.4116
2025-07,0.4120
2025-08,0.4132
2025-09,0.4118
2025-10,0.4162
2025-11,0.4086
2025-12,0.4031
2026-01,0.4091
