month,rate
2015-02,1.2416
2015-03,1.2643
2015-04,1.2097
2015-05,1.2266
2015-06,1.2949
2015-07,1.2767
2015-08,1.282
2015-09,1.2799
2015-10,1.2785
2015-11,1.2665
2015-12,1.2457
2016-01,1.2476
2016-02,1.1733
2016-03,1.1855
2016-04,1.1899
2016-05,1.1626
2016-06,1.1988
2016-07,1.2031
2016-08,1.0806
2016-09,1.0865
2016-10,1.0628
2016-11,1.008
2016-12,1.0167
2017-01,1.0147
2017-02,1.01
2017-03,1.0211
2017-04,1.023
2017-05,1.0505
2017-06,1.0618
2017-07,1.0385
2017-08,1.0694
2017-09,1.0492
2017-10,1.1123
2017-11,1.0799
2017-12,1.0893
2018-01,1.0993
2018-02,1.1663
2018-03,1.1462
2018-04,1.1533
2018-05,1.1672
2018-06,1.094
2018-07,1.0804
2018-08,1.07
2018-09,1.0585
2018-10,1.0786
2018-11,1.0588
2018-12,1.0478
2019-01,1.0367
2019-02,1.0711
2019-03,1.0713
2019-04,1.0815
2019-05,1.07
2019-06,1.038
2019-07,1.0358
2019-08,1.025
2019-09,0.9947
2019-10,1.0236
2019-11,1.0563
2019-12,1.0588
2020-01,1.0718
2020-02,1.0775
2020-03,1.062
2020-04,0.9646
2020-05,1.0108
2020-06,1.0061
2020-07,1.0283
2020-08,1.044
2020-09,1.0811
2020-10,1.0466
2020-11,1.0793
2020-12,1.0908
2021-01,1.1067
2021-02,1.1178
2021-03,1.1522
2021-04,1.1251
2021-05,1.1422
2021-06,1.1599
2021-07,1.1455
2021-08,1.1213
2021-09,1.1281
2021-10,1.1189
2021-11,1.1328
2021-12,1.1041
2022-01,1.0837
2022-02,1.1176
2022-03,1.1135
2022-04,1.0834
2022-05,1.0699
2022-06,1.0178
2022-07,1.0093
2022-08,0.9837
2022-09,0.9693
2022-10,0.9292
2022-11,0.9232
2022-12,0.9894
2023-01,1.0173
2023-02,1.0161
2023-03,0.9842
2023-04,1.0029
2023-05,1.0209
2023-06,1.0140
2023-07,1.0440
2023-08,1.0567
2023-09,1.0384
2023-10,1.0168
2023-11,1.0001
2023-12,1.0340
2024-01,1.0407
2024-02,1.0434
2024-03,1.0369
2024-04,1.0422
2024-05,1.0215
2024-06,1.0445
2024-07,1.0445
2024-08,1.0712
2024-09,1.0710
2024-10,1.0847
2024-11,1.0626
2024-12,1.0466
2025-01,1.0508
2025-02,1.0222
2025-03,1.0411
2025-04,1.0778
2025-05,1.1003
2025-06,1.1153
2025-07,1.1178
2025-08,1.1228
2025-09,1.1173
2025-10,1.1342
2025-11,1.1083
2025-12,1.0886
2026-01,1.1085
