month,rate
2015-02,278.8
2015-03,285.98
2015-04,273.7
2015-05,278.21
2015-06,293.8269
2015-07,289.7789
2015-08,292.67
2015-09,293.93
2015-10,435.07
2015-11,426.52
2015-12,467.74
2016-01,479.25
2016-02,516.69
2016-03,533.08
2016-04,502.34
2016-05,473.09
2016-06,482.2
2016-07,495.02
2016-08,449.52
2016-09,450.01
2016-10,439.3
2016-11,407.88
2016-12,416.16
2017-01,411.35
2017-02,407.66
2017-03,399.26
2017-04,393.75
2017-05,399.11
2017-06,403.2
2017-07,413.033
2017-08,425.59
2017-09,427.01
2017-10,462.65
2017-11,439.24
2017-12,438.35
2018-01,450.28
2018-02,456.39
2018-03,446.57
2018-04,451.07
2018-05,467.09
2018-06,435.12
2018-07,448.96
2018-08,450.21
2018-09,466.83
2018-10,475.65
2018-11,473.33
2018-12,470.63
2019-01,469.37
2019-02,493.97
2019-03,493.93
2019-04,498.95
2019-05,494.98
2019-06,479.61
2019-07,482.49
2019-08,480.51
2019-09,468.26
2019-10,483.14
2019-11,501.78
2019-12,499.35
2020-01,502.17
2020-02,495.25
2020-03,487.29
2020-04,521.81
2020-05,539.45
2020-06,509.18
2020-07,507.51
2020-08,526.1
2020-09,552.05
2020-10,543.69
2020-11,563.27
2020-12,569.21
2021-01,566.5800
2021-02,571.2100
2021-03,585.8300
2021-04,577.2500
2021-05,601.8900
2021-06,605.8500
2021-07,597.8600
2021-08,585.0400
2021-09,585.8300
2021-10,581.0200
2021-11,589.2700
2021-12,583.2700
2022-01,578.5064
2022-02,595.1099
2022-03,581.1143
2022-04,672.1849
2022-05,577.9393
2022-06,537.6471
2022-07,560.8745
2022-08,578.0609
2022-09,548.7913
2022-10,543.5581
2022-11,529.4648
2022-12,560.7196
2023-01,582.6613
2023-02,575.0090
2023-03,536.5523
2023-04,567.8641
2023-05,569.2907
2023-06,551.0078
2023-07,571.2294
2023-08,571.9643
2023-09,583.1033
2023-10,585.4002
2023-11,583.9743
2023-12,573.4329
2024-01,576.6477
2024-02,575.0172
2024-03,568.3821
2024-04,571.4870
2024-05,558.3812
2024-06,562.8600
2024-07,585.4136
2024-08,619.7535
2024-09,623.4495
2024-10,632.7338
2024-11,627.3253
2024-12,628.4674
2025-01,663.8077
2025-02,644.0917
2025-03,631.7082
2025-04,653.8008
2025-05,695.0592
2025-06,682.8432
2025-07,699.0896
2025-08,729.4464
2025-09,725.4476
2025-10,738.9178
2025-11,718.0977
2025-12,680.7221
2026-01,685.5603
